Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
17.0,14.0,14.0,12.0,20.0,10.0,24.0,29.0,32.0,27.0
18.0,20.0,14.0,30.0,12.0,32.0,44.0,23.0,26.0,11.0
17.0,17.0,23.0,21.0,12.0,16.0,54.0,21.0,21.0,19.0
9.0,29.0,29.0,20.0,40.0,18.0,20.0,19.0,27.0,36.0
18.0,28.0,62.0,22.0,24.0,19.0,43.0,25.0,20.0,18.0
86.0,11.0,36.0,20.0,16.0,21.0,13.0,21.0,19.0,25.0
14.0,20.0,16.0,18.0,16.0,45.0,22.0,12.0,46.0,24.0
29.0,42.0,30.0,10.0,43.0,12.0,30.0,14.0,27.0,25.0
19.0,10.0,16.0,20.0,21.0,29.0,17.0,16.0,30.0,13.0
23.0,22.0,54.0,21.0,19.0,28.0,18.0,21.0,24.0,13.0
19.0,24.0,43.0,12.0,39.0,20.0,14.0,11.0,30.0,14.0
38.0,29.0,54.0,27.0,16.0,14.0,42.0,47.0,17.0,20.0
70.0,15.0,36.0,11.0,15.0,30.0,22.0,15.0,17.0,28.0
14.0,18.0,25.0,22.0,17.0,21.0,21.0,25.0,14.0,27.0
15.0,16.0,14.0,17.0,20.0,30.0,20.0,20.0,13.0,44.0
15.0,16.0,23.0,20.0,27.0,51.0,18.0,30.0,13.0,40.0
17.0,60.0,49.0,25.0,17.0,15.0,22.0,21.0,66.0,22.0
12.0,27.0,48.0,22.0,31.0,33.0,12.0,11.0,15.0,20.0
16.0,34.0,55.0,21.0,30.0,20.0,15.0,10.0,42.0,40.0
27.0,14.0,28.0,10.0,12.0,31.0,28.0,12.0,21.0,34.0
45.0,23.0,25.0,15.0,26.0,12.0,38.0,10.0,19.0,17.0
33.0,17.0,15.0,28.0,19.0,39.0,29.0,11.0,13.0,28.0
22.0,32.0,106.0,12.0,56.0,17.0,12.0,40.0,32.0,16.0
22.0,16.0,61.0,48.0,21.0,18.0,14.0,18.0,20.0,20.0
58.0,19.0,31.0,27.0,23.0,12.0,18.0,17.0,12.0,14.0
36.0,28.0,17.0,32.0,23.0,31.0,15.0,45.0,30.0,33.0
28.0,34.0,55.0,31.0,21.0,32.0,25.0,14.0,25.0,24.0
49.0,37.0,30.0,11.0,28.0,26.0,31.0,68.0,8.0,18.0
21.0,15.0,33.0,19.0,39.0,18.0,37.0,11.0,18.0,19.0
47.0,45.0,26.0,40.0,28.0,17.0,26.0,9.0,18.0,12.0
28.0,12.0,59.0,10.0,30.0,12.0,28.0,18.0,17.0,17.0
