Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
18.0,55.0,59.0,50.0,55.0,26.0,23.0,20.0,21.0,34.0
14.0,67.0,24.0,24.0,28.0,10.0,32.0,18.0,12.0,15.0
30.0,15.0,14.0,21.0,25.0,58.0,28.0,12.0,57.0,22.0
16.0,30.0,24.0,39.0,15.0,25.0,14.0,49.0,14.0,31.0
13.0,20.0,17.0,18.0,34.0,12.0,19.0,22.0,24.0,29.0
19.0,17.0,20.0,18.0,18.0,13.0,20.0,13.0,15.0,30.0
34.0,11.0,21.0,16.0,47.0,36.0,24.0,15.0,19.0,14.0
9.0,9.0,26.0,15.0,32.0,25.0,17.0,85.0,17.0,19.0
11.0,24.0,21.0,59.0,13.0,29.0,16.0,19.0,18.0,13.0
28.0,16.0,31.0,10.0,10.0,20.0,14.0,23.0,18.0,19.0
21.0,10.0,21.0,42.0,14.0,24.0,27.0,32.0,13.0,32.0
16.0,31.0,17.0,27.0,13.0,12.0,18.0,11.0,20.0,34.0
16.0,32.0,13.0,14.0,16.0,14.0,45.0,26.0,25.0,46.0
11.0,37.0,47.0,20.0,16.0,16.0,29.0,27.0,15.0,11.0
18.0,19.0,11.0,37.0,27.0,35.0,14.0,48.0,28.0,23.0
18.0,17.0,14.0,24.0,22.0,92.0,16.0,40.0,21.0,15.0
23.0,35.0,36.0,15.0,24.0,15.0,10.0,14.0,32.0,18.0
18.0,12.0,45.0,24.0,20.0,27.0,16.0,14.0,17.0,12.0
23.0,11.0,17.0,24.0,41.0,34.0,18.0,33.0,23.0,22.0
15.0,12.0,13.0,20.0,20.0,13.0,20.0,24.0,14.0,14.0
20.0,43.0,14.0,18.0,23.0,9.0,18.0,42.0,17.0,16.0
17.0,39.0,25.0,19.0,47.0,23.0,32.0,23.0,11.0,16.0
49.0,21.0,92.0,18.0,18.0,16.0,57.0,37.0,19.0,19.0
15.0,20.0,72.0,34.0,58.0,19.0,22.0,34.0,43.0,24.0
39.0,43.0,34.0,47.0,69.0,15.0,11.0,20.0,16.0,34.0
13.0,23.0,54.0,15.0,21.0,46.0,39.0,15.0,15.0,15.0
45.0,14.0,93.0,34.0,87.0,24.0,30.0,13.0,12.0,12.0
22.0,23.0,92.0,15.0,53.0,30.0,31.0,9.0,26.0,21.0
22.0,17.0,56.0,13.0,11.0,15.0,41.0,43.0,39.0,16.0
27.0,17.0,29.0,20.0,45.0,16.0,28.0,14.0,10.0,19.0
32.0,18.0,15.0,14.0,19.0,31.0,12.0,19.0,30.0,16.0
33.0,14.0,14.0,9.0,42.0,14.0,51.0,11.0,18.0,14.0
20.0,15.0,11.0,12.0,27.0,21.0,64.0,18.0,17.0,12.0
