Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
16.0,12.0,44.0,14.0,26.0,13.0,16.0,25.0,16.0,11.0
14.0,30.0,14.0,41.0,13.0,16.0,11.0,26.0,33.0,24.0
13.0,17.0,22.0,25.0,18.0,13.0,34.0,24.0,22.0,21.0
38.0,43.0,46.0,15.0,21.0,13.0,16.0,29.0,10.0,16.0
16.0,32.0,12.0,59.0,25.0,20.0,53.0,14.0,12.0,13.0
29.0,24.0,42.0,15.0,21.0,35.0,14.0,24.0,26.0,17.0
14.0,18.0,44.0,22.0,24.0,25.0,14.0,10.0,28.0,38.0
27.0,23.0,18.0,37.0,26.0,29.0,16.0,30.0,17.0,17.0
49.0,19.0,21.0,32.0,38.0,25.0,27.0,13.0,17.0,17.0
21.0,25.0,19.0,26.0,98.0,25.0,10.0,52.0,21.0,17.0
26.0,12.0,22.0,25.0,68.0,21.0,16.0,19.0,24.0,18.0
13.0,54.0,12.0,14.0,32.0,16.0,18.0,13.0,9.0,37.0
26.0,23.0,11.0,14.0,22.0,9.0,35.0,14.0,13.0,20.0
25.0,23.0,18.0,123.0,34.0,20.0,33.0,13.0,19.0,17.0
25.0,12.0,14.0,48.0,25.0,22.0,11.0,18.0,30.0,13.0
9.0,18.0,21.0,20.0,17.0,11.0,33.0,45.0,24.0,18.0
18.0,21.0,17.0,14.0,11.0,11.0,13.0,21.0,45.0,14.0
17.0,76.0,20.0,42.0,40.0,19.0,21.0,16.0,11.0,50.0
27.0,33.0,21.0,12.0,22.0,29.0,11.0,17.0,11.0,22.0
9.0,13.0,17.0,28.0,14.0,20.0,36.0,24.0,18.0,12.0
33.0,33.0,10.0,14.0,36.0,11.0,13.0,12.0,30.0,31.0
48.0,19.0,41.0,14.0,42.0,13.0,16.0,30.0,19.0,10.0
18.0,14.0,67.0,32.0,99.0,60.0,15.0,21.0,19.0,23.0
11.0,19.0,34.0,16.0,81.0,14.0,39.0,41.0,14.0,34.0
9.0,33.0,25.0,20.0,37.0,22.0,13.0,30.0,13.0,23.0
21.0,15.0,13.0,14.0,16.0,12.0,48.0,11.0,48.0,12.0
43.0,21.0,60.0,34.0,57.0,23.0,19.0,39.0,11.0,27.0
18.0,17.0,16.0,25.0,23.0,21.0,23.0,19.0,12.0,17.0
14.0,14.0,28.0,22.0,22.0,19.0,23.0,28.0,27.0,15.0
12.0,13.0,31.0,10.0,16.0,10.0,30.0,20.0,24.0,16.0
13.0,55.0,26.0,16.0,33.0,22.0,18.0,13.0,19.0,11.0
13.0,42.0,39.0,42.0,31.0,30.0,36.0,17.0,11.0,31.0
17.0,27.0,87.0,39.0,18.0,15.0,13.0,19.0,31.0,16.0
25.0,27.0,36.0,36.0,19.0,24.0,15.0,22.0,19.0,12.0
18.0,31.0,27.0,13.0,32.0,18.0,22.0,37.0,39.0,13.0
10.0,30.0,45.0,15.0,20.0,20.0,49.0,27.0,36.0,20.0
8.0,20.0,9.0,19.0,19.0,8.0,37.0,53.0,23.0,20.0
41.0,14.0,13.0,48.0,35.0,26.0,39.0,13.0,13.0,9.0
18.0,15.0,32.0,20.0,17.0,55.0,47.0,15.0,11.0,16.0
46.0,37.0,15.0,24.0,21.0,13.0,15.0,18.0,41.0,13.0
16.0,15.0,14.0,14.0,68.0,23.0,16.0,17.0,19.0,15.0
69.0,36.0,47.0,34.0,138.0,46.0,13.0,43.0,12.0,48.0
15.0,32.0,65.0,19.0,102.0,25.0,13.0,17.0,12.0,26.0
16.0,22.0,141.0,18.0,317.0,12.0,30.0,30.0,32.0,9.0
38.0,20.0,44.0,29.0,166.0,21.0,35.0,24.0,14.0,12.0
17.0,19.0,91.0,19.0,222.0,27.0,74.0,49.0,11.0,12.0
