Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
24.0,23.0,35.0,41.0,14.0,30.0,15.0,20.0,11.0,31.0
36.0,15.0,26.0,17.0,20.0,20.0,8.0,41.0,18.0,12.0
16.0,9.0,12.0,12.0,76.0,46.0,14.0,13.0,24.0,23.0
30.0,26.0,9.0,9.0,39.0,11.0,15.0,41.0,9.0,20.0
15.0,17.0,18.0,12.0,54.0,16.0,16.0,10.0,21.0,11.0
17.0,28.0,45.0,23.0,56.0,20.0,17.0,22.0,31.0,28.0
13.0,15.0,19.0,33.0,27.0,23.0,59.0,31.0,29.0,61.0
50.0,47.0,55.0,13.0,21.0,9.0,26.0,12.0,35.0,17.0
56.0,30.0,29.0,40.0,32.0,24.0,24.0,17.0,34.0,31.0
44.0,20.0,36.0,17.0,38.0,14.0,138.0,16.0,25.0,19.0
12.0,33.0,26.0,13.0,33.0,20.0,19.0,30.0,28.0,14.0
27.0,10.0,38.0,38.0,46.0,17.0,19.0,38.0,36.0,25.0
31.0,20.0,81.0,14.0,22.0,20.0,23.0,11.0,28.0,15.0
27.0,18.0,21.0,36.0,11.0,12.0,36.0,12.0,26.0,20.0
55.0,16.0,21.0,11.0,54.0,15.0,74.0,27.0,21.0,31.0
27.0,29.0,53.0,36.0,22.0,9.0,48.0,20.0,13.0,12.0
14.0,14.0,71.0,14.0,15.0,12.0,71.0,13.0,9.0,10.0
24.0,55.0,54.0,13.0,15.0,28.0,40.0,12.0,10.0,29.0
24.0,63.0,38.0,45.0,33.0,29.0,42.0,26.0,61.0,23.0
12.0,18.0,86.0,15.0,80.0,13.0,22.0,21.0,39.0,29.0
19.0,14.0,47.0,23.0,95.0,17.0,54.0,11.0,34.0,12.0
27.0,38.0,30.0,35.0,63.0,23.0,86.0,22.0,21.0,37.0
23.0,70.0,75.0,11.0,40.0,14.0,44.0,24.0,17.0,34.0
20.0,19.0,151.0,17.0,69.0,38.0,102.0,10.0,21.0,13.0
16.0,19.0,27.0,24.0,183.0,19.0,49.0,17.0,41.0,24.0
13.0,26.0,42.0,33.0,224.0,49.0,44.0,11.0,17.0,21.0
15.0,18.0,47.0,28.0,93.0,17.0,52.0,23.0,15.0,24.0
31.0,15.0,31.0,28.0,88.0,14.0,37.0,17.0,42.0,15.0
35.0,16.0,48.0,16.0,58.0,18.0,31.0,12.0,22.0,12.0
19.0,21.0,81.0,17.0,90.0,13.0,46.0,51.0,84.0,16.0
17.0,18.0,129.0,30.0,74.0,38.0,75.0,14.0,13.0,22.0
60.0,52.0,132.0,23.0,30.0,13.0,79.0,13.0,26.0,11.0
77.0,14.0,143.0,22.0,32.0,12.0,28.0,23.0,28.0,20.0
16.0,16.0,82.0,13.0,59.0,11.0,20.0,10.0,44.0,22.0
45.0,45.0,56.0,11.0,25.0,16.0,38.0,11.0,41.0,14.0
13.0,35.0,55.0,51.0,122.0,14.0,82.0,15.0,12.0,9.0
32.0,25.0,14.0,15.0,64.0,23.0,69.0,11.0,15.0,19.0
35.0,21.0,73.0,17.0,68.0,10.0,92.0,14.0,64.0,27.0
26.0,14.0,103.0,9.0,17.0,14.0,64.0,10.0,18.0,66.0
14.0,82.0,138.0,10.0,18.0,21.0,54.0,11.0,23.0,18.0
70.0,32.0,53.0,25.0,65.0,33.0,39.0,42.0,43.0,39.0
23.0,16.0,13.0,25.0,132.0,41.0,17.0,12.0,25.0,31.0
42.0,12.0,31.0,12.0,122.0,35.0,68.0,28.0,26.0,26.0
33.0,29.0,62.0,52.0,81.0,9.0,30.0,9.0,18.0,23.0
35.0,50.0,336.0,35.0,99.0,19.0,26.0,23.0,37.0,16.0
69.0,27.0,279.0,37.0,66.0,31.0,90.0,16.0,47.0,19.0
27.0,15.0,14.0,14.0,59.0,26.0,101.0,44.0,32.0,38.0
69.0,22.0,32.0,19.0,66.0,20.0,45.0,22.0,14.0,11.0
32.0,14.0,25.0,32.0,66.0,23.0,32.0,16.0,10.0,24.0
54.0,27.0,18.0,15.0,19.0,11.0,27.0,48.0,29.0,19.0
82.0,15.0,47.0,10.0,23.0,24.0,85.0,10.0,31.0,22.0
84.0,26.0,91.0,57.0,46.0,11.0,42.0,23.0,29.0,13.0
17.0,32.0,134.0,27.0,43.0,18.0,39.0,13.0,17.0,14.0
31.0,12.0,137.0,22.0,20.0,14.0,213.0,49.0,45.0,27.0
106.0,13.0,96.0,29.0,53.0,17.0,25.0,27.0,45.0,15.0
38.0,13.0,360.0,42.0,33.0,32.0,125.0,20.0,21.0,23.0
31.0,16.0,244.0,27.0,10.0,12.0,49.0,11.0,27.0,34.0
23.0,50.0,383.0,16.0,24.0,18.0,82.0,24.0,48.0,22.0
38.0,80.0,500.0,21.0,12.0,10.0,59.0,25.0,49.0,17.0
20.0,15.0,500.0,14.0,20.0,19.0,29.0,10.0,59.0,21.0
66.0,25.0,262.0,16.0,73.0,11.0,19.0,14.0,43.0,15.0
24.0,33.0,500.0,14.0,22.0,21.0,19.0,53.0,26.0,22.0
27.0,41.0,500.0,17.0,17.0,29.0,63.0,22.0,30.0,29.0
46.0,33.0,500.0,14.0,52.0,22.0,99.0,29.0,34.0,24.0
16.0,52.0,500.0,10.0,38.0,14.0,152.0,22.0,22.0,20.0
120.0,35.0,500.0,13.0,28.0,19.0,182.0,12.0,25.0,14.0
85.0,68.0,187.0,30.0,60.0,37.0,36.0,25.0,63.0,35.0
89.0,204.0,15.0,26.0,22.0,16.0,34.0,28.0,35.0,12.0
20.0,53.0,26.0,17.0,70.0,20.0,166.0,14.0,18.0,19.0
64.0,112.0,84.0,30.0,67.0,13.0,147.0,24.0,31.0,13.0
31.0,62.0,89.0,22.0,32.0,21.0,246.0,30.0,43.0,19.0
32.0,82.0,237.0,10.0,30.0,23.0,170.0,12.0,44.0,21.0
87.0,43.0,169.0,51.0,73.0,15.0,136.0,22.0,27.0,17.0
52.0,168.0,43.0,12.0,84.0,28.0,52.0,12.0,56.0,56.0
54.0,113.0,37.0,13.0,135.0,31.0,239.0,16.0,154.0,11.0
108.0,186.0,24.0,36.0,59.0,21.0,250.0,19.0,22.0,23.0
23.0,45.0,72.0,18.0,240.0,12.0,261.0,12.0,135.0,47.0
47.0,70.0,268.0,20.0,165.0,14.0,97.0,37.0,58.0,32.0
65.0,172.0,500.0,18.0,88.0,32.0,68.0,13.0,58.0,19.0
27.0,62.0,500.0,23.0,127.0,31.0,140.0,12.0,63.0,27.0
