Episode,Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
34.0,7.0,15.0,29.0,13.0,8.0,6.0,5.0,6.0,13.0,12.0
35.0,8.0,11.0,21.0,10.0,14.0,9.0,7.0,9.0,6.0,9.0
36.0,8.0,6.0,5.0,6.0,6.0,4.0,18.0,10.0,17.0,5.0
37.0,8.0,7.0,5.0,6.0,5.0,10.0,29.0,7.0,9.0,7.0
38.0,8.0,5.0,4.0,11.0,10.0,5.0,7.0,22.0,21.0,8.0
39.0,7.0,8.0,14.0,5.0,4.0,11.0,10.0,3.0,16.0,14.0
40.0,6.0,15.0,21.0,6.0,8.0,9.0,13.0,11.0,10.0,7.0
41.0,5.0,6.0,7.0,6.0,7.0,9.0,15.0,9.0,7.0,19.0
42.0,7.0,12.0,13.0,10.0,22.0,7.0,15.0,13.0,7.0,25.0
43.0,6.0,14.0,18.0,13.0,7.0,9.0,27.0,19.0,8.0,9.0
44.0,10.0,9.0,12.0,42.0,9.0,11.0,9.0,7.0,5.0,4.0
45.0,7.0,11.0,21.0,10.0,7.0,7.0,8.0,5.0,5.0,16.0
46.0,6.0,11.0,7.0,4.0,12.0,10.0,11.0,8.0,8.0,11.0
47.0,14.0,11.0,5.0,7.0,10.0,9.0,19.0,6.0,13.0,24.0
48.0,5.0,4.0,6.0,8.0,18.0,6.0,9.0,6.0,10.0,13.0
49.0,6.0,8.0,8.0,21.0,11.0,6.0,9.0,24.0,13.0,7.0
50.0,6.0,12.0,7.0,12.0,16.0,6.0,13.0,19.0,5.0,13.0
51.0,11.0,6.0,5.0,7.0,18.0,6.0,7.0,22.0,11.0,5.0
52.0,8.0,5.0,13.0,6.0,33.0,7.0,10.0,8.0,6.0,17.0
53.0,10.0,10.0,38.0,9.0,6.0,9.0,6.0,7.0,9.0,6.0
54.0,7.0,15.0,17.0,15.0,11.0,5.0,7.0,10.0,21.0,6.0
55.0,5.0,7.0,16.0,5.0,8.0,7.0,8.0,8.0,6.0,14.0
56.0,15.0,32.0,11.0,28.0,10.0,7.0,6.0,8.0,8.0,8.0
57.0,7.0,5.0,9.0,10.0,12.0,13.0,18.0,6.0,10.0,5.0
58.0,6.0,21.0,9.0,33.0,16.0,6.0,7.0,22.0,15.0,9.0
59.0,8.0,9.0,18.0,12.0,5.0,16.0,14.0,5.0,7.0,10.0
60.0,9.0,9.0,7.0,6.0,8.0,17.0,22.0,4.0,7.0,16.0
61.0,5.0,11.0,11.0,10.0,17.0,16.0,8.0,5.0,10.0,10.0
62.0,9.0,7.0,5.0,4.0,13.0,5.0,6.0,4.0,12.0,8.0
63.0,7.0,13.0,6.0,7.0,11.0,12.0,5.0,5.0,5.0,9.0
64.0,11.0,7.0,16.0,18.0,18.0,15.0,4.0,13.0,7.0,4.0
65.0,20.0,10.0,16.0,11.0,9.0,5.0,14.0,8.0,4.0,5.0
66.0,5.0,5.0,8.0,11.0,25.0,19.0,9.0,13.0,15.0,11.0
67.0,9.0,6.0,9.0,16.0,12.0,19.0,8.0,11.0,15.0,11.0
68.0,12.0,9.0,17.0,8.0,17.0,9.0,9.0,7.0,6.0,9.0
69.0,12.0,13.0,6.0,14.0,4.0,16.0,20.0,8.0,9.0,5.0
70.0,13.0,5.0,6.0,12.0,12.0,16.0,10.0,21.0,4.0,9.0
71.0,8.0,7.0,7.0,5.0,24.0,5.0,11.0,6.0,11.0,6.0
72.0,15.0,6.0,13.0,10.0,9.0,7.0,4.0,9.0,10.0,14.0
73.0,5.0,7.0,8.0,6.0,14.0,6.0,4.0,5.0,9.0,11.0
74.0,10.0,9.0,5.0,7.0,8.0,12.0,5.0,6.0,15.0,11.0
75.0,12.0,4.0,5.0,7.0,15.0,6.0,9.0,8.0,11.0,6.0
76.0,5.0,16.0,9.0,4.0,11.0,8.0,15.0,6.0,7.0,8.0
77.0,6.0,5.0,11.0,7.0,5.0,7.0,5.0,7.0,12.0,22.0
78.0,6.0,5.0,9.0,7.0,7.0,6.0,10.0,6.0,10.0,12.0
79.0,5.0,14.0,7.0,5.0,13.0,7.0,10.0,17.0,6.0,4.0
80.0,7.0,8.0,18.0,9.0,8.0,3.0,11.0,16.0,14.0,6.0
81.0,13.0,6.0,6.0,12.0,10.0,10.0,16.0,8.0,8.0,8.0
82.0,5.0,4.0,7.0,10.0,12.0,13.0,9.0,12.0,13.0,9.0
83.0,5.0,4.0,8.0,7.0,9.0,7.0,9.0,7.0,6.0,6.0
84.0,8.0,7.0,18.0,11.0,9.0,10.0,13.0,5.0,10.0,25.0
85.0,4.0,4.0,6.0,9.0,6.0,17.0,10.0,8.0,8.0,5.0
86.0,9.0,5.0,7.0,5.0,12.0,7.0,7.0,18.0,7.0,12.0
87.0,9.0,9.0,21.0,13.0,17.0,9.0,4.0,9.0,9.0,4.0
88.0,7.0,7.0,8.0,7.0,10.0,11.0,7.0,5.0,9.0,42.0
89.0,19.0,6.0,7.0,5.0,5.0,9.0,9.0,16.0,8.0,17.0
90.0,8.0,7.0,7.0,10.0,11.0,6.0,17.0,9.0,7.0,7.0
91.0,8.0,7.0,7.0,17.0,14.0,14.0,11.0,11.0,16.0,24.0
92.0,18.0,5.0,4.0,6.0,9.0,12.0,6.0,8.0,11.0,7.0
93.0,7.0,8.0,7.0,7.0,19.0,16.0,8.0,22.0,9.0,10.0
94.0,11.0,13.0,6.0,11.0,8.0,6.0,6.0,23.0,6.0,14.0
95.0,19.0,16.0,6.0,7.0,10.0,20.0,16.0,14.0,16.0,12.0
96.0,10.0,9.0,7.0,8.0,8.0,10.0,12.0,29.0,32.0,7.0
97.0,6.0,11.0,5.0,5.0,19.0,6.0,25.0,5.0,7.0,7.0
98.0,12.0,5.0,6.0,10.0,14.0,8.0,16.0,20.0,14.0,16.0
99.0,8.0,6.0,11.0,5.0,11.0,5.0,9.0,5.0,6.0,6.0
100.0,11.0,8.0,6.0,5.0,15.0,10.0,8.0,11.0,6.0,9.0
101.0,8.0,11.0,13.0,14.0,17.0,8.0,10.0,7.0,4.0,11.0
102.0,7.0,6.0,7.0,9.0,10.0,19.0,10.0,10.0,6.0,10.0
103.0,4.0,11.0,9.0,9.0,8.0,11.0,10.0,12.0,14.0,9.0
104.0,8.0,7.0,8.0,13.0,8.0,8.0,8.0,7.0,7.0,4.0
105.0,13.0,7.0,7.0,9.0,14.0,22.0,10.0,9.0,8.0,6.0
106.0,7.0,9.0,18.0,8.0,8.0,6.0,12.0,14.0,20.0,6.0
107.0,4.0,12.0,17.0,23.0,21.0,6.0,13.0,9.0,10.0,12.0
108.0,5.0,14.0,11.0,10.0,5.0,6.0,27.0,3.0,7.0,13.0
109.0,6.0,10.0,5.0,14.0,36.0,8.0,11.0,11.0,13.0,5.0
110.0,6.0,6.0,8.0,21.0,23.0,17.0,7.0,4.0,10.0,11.0
111.0,9.0,10.0,6.0,4.0,24.0,18.0,6.0,7.0,18.0,21.0
112.0,8.0,9.0,6.0,5.0,7.0,19.0,9.0,9.0,11.0,10.0
113.0,5.0,8.0,13.0,8.0,13.0,8.0,15.0,6.0,7.0,4.0
114.0,9.0,9.0,7.0,5.0,6.0,16.0,17.0,6.0,10.0,7.0
115.0,10.0,5.0,7.0,7.0,7.0,10.0,18.0,16.0,5.0,6.0
116.0,5.0,14.0,9.0,7.0,5.0,11.0,8.0,25.0,8.0,5.0
117.0,5.0,12.0,11.0,13.0,24.0,5.0,8.0,22.0,13.0,8.0
118.0,7.0,5.0,6.0,7.0,15.0,5.0,15.0,5.0,29.0,3.0
119.0,12.0,7.0,13.0,8.0,11.0,22.0,6.0,8.0,12.0,13.0
120.0,7.0,14.0,6.0,12.0,25.0,7.0,5.0,12.0,9.0,5.0
121.0,17.0,11.0,17.0,5.0,26.0,6.0,8.0,13.0,6.0,9.0
122.0,7.0,9.0,10.0,6.0,15.0,6.0,5.0,8.0,39.0,7.0
123.0,5.0,8.0,6.0,5.0,25.0,25.0,6.0,17.0,16.0,11.0
124.0,20.0,17.0,5.0,8.0,10.0,6.0,7.0,6.0,6.0,10.0
125.0,5.0,7.0,7.0,8.0,18.0,18.0,8.0,7.0,5.0,10.0
126.0,9.0,6.0,14.0,9.0,8.0,6.0,9.0,11.0,8.0,4.0
127.0,19.0,9.0,4.0,5.0,12.0,8.0,9.0,9.0,15.0,17.0
128.0,5.0,8.0,8.0,8.0,7.0,20.0,8.0,8.0,33.0,5.0
129.0,17.0,10.0,6.0,11.0,25.0,4.0,11.0,8.0,6.0,3.0
130.0,10.0,9.0,8.0,8.0,8.0,10.0,5.0,6.0,8.0,8.0
131.0,11.0,8.0,13.0,8.0,18.0,11.0,9.0,6.0,5.0,12.0
132.0,9.0,9.0,13.0,16.0,6.0,11.0,21.0,27.0,17.0,7.0
133.0,17.0,3.0,12.0,9.0,11.0,9.0,4.0,17.0,36.0,15.0
134.0,12.0,8.0,6.0,5.0,11.0,9.0,8.0,13.0,8.0,21.0
135.0,9.0,19.0,6.0,5.0,11.0,12.0,10.0,5.0,8.0,8.0
136.0,6.0,14.0,10.0,15.0,7.0,8.0,18.0,11.0,8.0,8.0
137.0,16.0,7.0,4.0,7.0,5.0,13.0,6.0,6.0,15.0,6.0
138.0,12.0,10.0,8.0,14.0,9.0,6.0,7.0,5.0,12.0,13.0
139.0,7.0,7.0,6.0,16.0,7.0,8.0,12.0,7.0,15.0,5.0
140.0,13.0,6.0,6.0,6.0,14.0,8.0,9.0,15.0,9.0,15.0
141.0,50.0,8.0,12.0,13.0,19.0,8.0,15.0,5.0,10.0,6.0
142.0,16.0,11.0,11.0,8.0,8.0,9.0,11.0,11.0,19.0,9.0
143.0,32.0,14.0,5.0,9.0,10.0,11.0,14.0,5.0,14.0,8.0
144.0,5.0,6.0,6.0,7.0,16.0,11.0,8.0,6.0,15.0,7.0
145.0,5.0,8.0,10.0,19.0,7.0,11.0,5.0,18.0,8.0,9.0
146.0,6.0,14.0,11.0,15.0,10.0,24.0,8.0,9.0,19.0,11.0
147.0,11.0,6.0,9.0,7.0,22.0,7.0,6.0,5.0,7.0,14.0
148.0,8.0,5.0,6.0,5.0,6.0,11.0,9.0,10.0,14.0,11.0
149.0,5.0,10.0,10.0,21.0,8.0,22.0,11.0,13.0,5.0,5.0
150.0,11.0,8.0,8.0,9.0,8.0,9.0,13.0,11.0,9.0,10.0
151.0,18.0,12.0,7.0,7.0,22.0,11.0,10.0,10.0,6.0,17.0
152.0,6.0,7.0,13.0,11.0,32.0,6.0,6.0,6.0,14.0,12.0
153.0,8.0,10.0,28.0,8.0,11.0,12.0,16.0,8.0,17.0,6.0
154.0,8.0,6.0,5.0,12.0,15.0,10.0,11.0,24.0,22.0,10.0
155.0,8.0,7.0,10.0,7.0,19.0,18.0,6.0,20.0,13.0,8.0
156.0,7.0,6.0,10.0,15.0,9.0,21.0,12.0,5.0,14.0,4.0
157.0,9.0,7.0,8.0,8.0,14.0,13.0,6.0,9.0,19.0,6.0
158.0,15.0,6.0,6.0,5.0,31.0,5.0,12.0,9.0,28.0,7.0
159.0,10.0,7.0,8.0,9.0,27.0,15.0,5.0,6.0,18.0,15.0
160.0,10.0,6.0,5.0,11.0,8.0,19.0,5.0,16.0,9.0,9.0
161.0,12.0,7.0,12.0,8.0,10.0,12.0,4.0,7.0,10.0,7.0
162.0,5.0,9.0,20.0,12.0,8.0,6.0,10.0,12.0,8.0,6.0
163.0,6.0,6.0,8.0,8.0,36.0,11.0,8.0,7.0,11.0,8.0
164.0,7.0,8.0,10.0,8.0,21.0,9.0,16.0,8.0,15.0,8.0
165.0,9.0,14.0,17.0,9.0,16.0,15.0,6.0,4.0,22.0,7.0
166.0,9.0,6.0,6.0,6.0,11.0,8.0,8.0,7.0,37.0,7.0
167.0,5.0,8.0,8.0,19.0,22.0,5.0,6.0,6.0,7.0,5.0
168.0,9.0,5.0,26.0,11.0,5.0,10.0,8.0,8.0,10.0,7.0
169.0,10.0,7.0,7.0,9.0,11.0,7.0,11.0,7.0,11.0,10.0
170.0,16.0,8.0,5.0,5.0,16.0,9.0,33.0,6.0,14.0,42.0
171.0,6.0,7.0,8.0,6.0,8.0,7.0,10.0,7.0,14.0,6.0
172.0,10.0,11.0,13.0,4.0,20.0,14.0,12.0,6.0,18.0,6.0
173.0,5.0,12.0,13.0,16.0,7.0,14.0,5.0,11.0,32.0,8.0
174.0,8.0,8.0,8.0,11.0,10.0,7.0,13.0,11.0,18.0,14.0
175.0,9.0,18.0,15.0,5.0,10.0,6.0,10.0,5.0,12.0,6.0
176.0,5.0,9.0,10.0,32.0,10.0,8.0,7.0,8.0,5.0,5.0
177.0,7.0,5.0,5.0,16.0,16.0,6.0,5.0,7.0,27.0,12.0
178.0,18.0,11.0,14.0,11.0,9.0,6.0,6.0,5.0,19.0,8.0
179.0,5.0,29.0,13.0,14.0,17.0,9.0,50.0,12.0,9.0,25.0
180.0,7.0,6.0,8.0,8.0,32.0,16.0,7.0,10.0,21.0,5.0
181.0,6.0,4.0,5.0,6.0,9.0,19.0,13.0,9.0,14.0,14.0
182.0,16.0,8.0,16.0,6.0,6.0,8.0,27.0,13.0,18.0,11.0
183.0,12.0,14.0,11.0,5.0,22.0,8.0,20.0,11.0,9.0,8.0
184.0,8.0,9.0,14.0,8.0,11.0,8.0,6.0,10.0,11.0,7.0
185.0,10.0,12.0,3.0,19.0,17.0,17.0,37.0,7.0,12.0,6.0
186.0,9.0,16.0,14.0,12.0,7.0,33.0,20.0,11.0,15.0,8.0
187.0,11.0,8.0,10.0,8.0,8.0,21.0,7.0,4.0,10.0,11.0
188.0,12.0,7.0,8.0,7.0,14.0,23.0,7.0,12.0,28.0,4.0
189.0,5.0,5.0,6.0,22.0,7.0,14.0,6.0,5.0,9.0,6.0
190.0,17.0,14.0,7.0,10.0,9.0,16.0,8.0,10.0,16.0,5.0
191.0,11.0,7.0,21.0,10.0,21.0,24.0,13.0,9.0,12.0,5.0
192.0,7.0,5.0,11.0,10.0,13.0,17.0,12.0,10.0,17.0,6.0
193.0,12.0,7.0,10.0,6.0,16.0,25.0,14.0,8.0,8.0,6.0
194.0,10.0,5.0,5.0,21.0,27.0,12.0,7.0,7.0,15.0,13.0
195.0,9.0,6.0,19.0,5.0,14.0,33.0,11.0,8.0,27.0,10.0
196.0,18.0,10.0,13.0,15.0,17.0,25.0,15.0,18.0,38.0,6.0
197.0,6.0,7.0,6.0,13.0,12.0,9.0,8.0,16.0,14.0,8.0
198.0,11.0,15.0,11.0,18.0,25.0,12.0,7.0,15.0,31.0,7.0
199.0,21.0,8.0,5.0,7.0,31.0,29.0,11.0,7.0,13.0,16.0
200.0,6.0,5.0,7.0,7.0,20.0,29.0,6.0,9.0,17.0,8.0
201.0,24.0,13.0,12.0,13.0,13.0,33.0,10.0,14.0,22.0,4.0
202.0,9.0,15.0,9.0,6.0,17.0,50.0,20.0,10.0,15.0,9.0
203.0,10.0,22.0,7.0,9.0,5.0,28.0,6.0,10.0,9.0,9.0
204.0,10.0,7.0,9.0,8.0,20.0,24.0,13.0,10.0,6.0,6.0
205.0,5.0,7.0,14.0,6.0,28.0,17.0,9.0,6.0,33.0,12.0
206.0,9.0,7.0,8.0,7.0,12.0,5.0,9.0,9.0,17.0,19.0
207.0,11.0,7.0,9.0,12.0,12.0,36.0,11.0,13.0,5.0,9.0
208.0,6.0,22.0,7.0,6.0,8.0,18.0,25.0,13.0,12.0,8.0
209.0,4.0,11.0,4.0,23.0,14.0,8.0,8.0,7.0,14.0,8.0
210.0,14.0,5.0,12.0,21.0,71.0,22.0,4.0,21.0,18.0,6.0
211.0,14.0,8.0,11.0,16.0,8.0,18.0,6.0,13.0,27.0,12.0
212.0,9.0,9.0,14.0,8.0,20.0,9.0,12.0,8.0,20.0,18.0
213.0,5.0,9.0,10.0,7.0,14.0,19.0,7.0,7.0,24.0,7.0
214.0,10.0,6.0,8.0,7.0,17.0,16.0,12.0,21.0,13.0,8.0
215.0,8.0,6.0,15.0,12.0,10.0,11.0,4.0,17.0,46.0,16.0
216.0,12.0,7.0,10.0,19.0,29.0,19.0,21.0,10.0,28.0,11.0
217.0,11.0,6.0,10.0,12.0,16.0,17.0,16.0,4.0,29.0,5.0
218.0,5.0,15.0,29.0,17.0,8.0,18.0,8.0,5.0,26.0,9.0
219.0,8.0,6.0,12.0,11.0,14.0,10.0,9.0,8.0,34.0,19.0
220.0,6.0,6.0,9.0,7.0,22.0,49.0,13.0,26.0,20.0,12.0
221.0,6.0,8.0,9.0,5.0,12.0,25.0,5.0,7.0,49.0,9.0
222.0,12.0,12.0,15.0,8.0,9.0,15.0,9.0,14.0,22.0,7.0
223.0,8.0,7.0,7.0,6.0,10.0,20.0,13.0,9.0,16.0,10.0
224.0,13.0,20.0,17.0,5.0,25.0,7.0,9.0,7.0,14.0,11.0
225.0,10.0,9.0,7.0,16.0,9.0,11.0,15.0,14.0,27.0,14.0
226.0,10.0,7.0,6.0,13.0,20.0,10.0,20.0,6.0,33.0,8.0
227.0,15.0,8.0,6.0,19.0,13.0,26.0,6.0,5.0,10.0,10.0
228.0,11.0,5.0,14.0,13.0,10.0,10.0,5.0,16.0,15.0,7.0
229.0,7.0,14.0,8.0,17.0,22.0,32.0,5.0,6.0,15.0,20.0
230.0,10.0,4.0,11.0,26.0,20.0,19.0,18.0,6.0,24.0,5.0
231.0,8.0,9.0,18.0,6.0,18.0,30.0,12.0,35.0,42.0,12.0
232.0,10.0,10.0,10.0,11.0,9.0,19.0,6.0,5.0,26.0,6.0
233.0,12.0,4.0,9.0,5.0,24.0,13.0,10.0,9.0,12.0,8.0
234.0,17.0,9.0,5.0,4.0,21.0,18.0,29.0,26.0,13.0,11.0
235.0,9.0,6.0,6.0,11.0,16.0,19.0,23.0,5.0,10.0,5.0
236.0,8.0,9.0,9.0,14.0,17.0,9.0,9.0,6.0,19.0,6.0
237.0,6.0,24.0,11.0,7.0,13.0,45.0,10.0,14.0,13.0,5.0
238.0,5.0,4.0,13.0,7.0,21.0,16.0,19.0,7.0,63.0,6.0
239.0,11.0,6.0,10.0,8.0,55.0,13.0,14.0,10.0,25.0,10.0
240.0,6.0,17.0,10.0,8.0,19.0,11.0,12.0,8.0,26.0,11.0
241.0,14.0,5.0,13.0,6.0,16.0,11.0,13.0,13.0,16.0,11.0
242.0,16.0,11.0,9.0,6.0,23.0,35.0,8.0,7.0,17.0,14.0
243.0,8.0,7.0,11.0,8.0,10.0,17.0,13.0,11.0,30.0,10.0
244.0,7.0,4.0,28.0,6.0,26.0,18.0,5.0,18.0,18.0,8.0
245.0,11.0,6.0,5.0,7.0,35.0,20.0,22.0,15.0,15.0,6.0
246.0,8.0,8.0,6.0,27.0,17.0,26.0,4.0,7.0,17.0,16.0
247.0,8.0,7.0,49.0,32.0,17.0,14.0,8.0,7.0,24.0,4.0
248.0,10.0,5.0,8.0,8.0,24.0,26.0,11.0,11.0,39.0,4.0
249.0,12.0,7.0,8.0,7.0,16.0,20.0,13.0,19.0,20.0,18.0
250.0,13.0,19.0,6.0,13.0,11.0,12.0,9.0,7.0,16.0,9.0
251.0,14.0,6.0,5.0,5.0,10.0,9.0,17.0,11.0,39.0,13.0
252.0,10.0,5.0,14.0,8.0,7.0,42.0,8.0,9.0,9.0,7.0
253.0,8.0,15.0,6.0,17.0,28.0,10.0,8.0,8.0,9.0,10.0
254.0,8.0,5.0,23.0,7.0,27.0,52.0,8.0,5.0,51.0,7.0
255.0,8.0,5.0,11.0,6.0,16.0,13.0,5.0,11.0,38.0,6.0
256.0,7.0,15.0,5.0,15.0,20.0,26.0,26.0,4.0,10.0,6.0
257.0,9.0,7.0,10.0,7.0,5.0,33.0,9.0,13.0,20.0,9.0
258.0,11.0,6.0,12.0,10.0,13.0,19.0,18.0,8.0,20.0,6.0
259.0,25.0,11.0,11.0,12.0,16.0,13.0,8.0,6.0,41.0,23.0
260.0,24.0,19.0,27.0,12.0,12.0,35.0,10.0,14.0,22.0,10.0
261.0,7.0,10.0,25.0,30.0,14.0,17.0,14.0,5.0,19.0,6.0
262.0,14.0,5.0,5.0,10.0,13.0,16.0,16.0,6.0,13.0,6.0
263.0,13.0,5.0,11.0,6.0,12.0,31.0,24.0,8.0,18.0,9.0
264.0,9.0,12.0,15.0,7.0,17.0,30.0,8.0,7.0,44.0,6.0
265.0,6.0,6.0,29.0,6.0,8.0,46.0,24.0,10.0,37.0,6.0
266.0,5.0,21.0,13.0,10.0,10.0,29.0,13.0,7.0,16.0,6.0
267.0,9.0,5.0,7.0,8.0,13.0,19.0,14.0,11.0,19.0,9.0
268.0,7.0,11.0,13.0,8.0,14.0,32.0,11.0,7.0,26.0,17.0
269.0,7.0,6.0,14.0,9.0,15.0,13.0,16.0,12.0,31.0,6.0
270.0,8.0,6.0,4.0,8.0,7.0,32.0,17.0,8.0,14.0,8.0
271.0,26.0,11.0,10.0,8.0,11.0,19.0,7.0,17.0,18.0,7.0
272.0,7.0,21.0,16.0,7.0,17.0,12.0,9.0,19.0,13.0,24.0
273.0,16.0,12.0,17.0,5.0,12.0,10.0,11.0,9.0,11.0,22.0
274.0,10.0,11.0,21.0,9.0,28.0,22.0,16.0,16.0,8.0,6.0
275.0,8.0,11.0,10.0,12.0,15.0,39.0,9.0,6.0,18.0,14.0
276.0,7.0,23.0,8.0,13.0,22.0,11.0,42.0,7.0,12.0,5.0
277.0,7.0,4.0,19.0,19.0,9.0,24.0,13.0,6.0,29.0,5.0
278.0,10.0,8.0,14.0,8.0,14.0,23.0,10.0,11.0,51.0,13.0
279.0,13.0,14.0,35.0,9.0,19.0,28.0,6.0,6.0,13.0,13.0
280.0,8.0,17.0,17.0,8.0,18.0,20.0,10.0,14.0,19.0,6.0
281.0,6.0,10.0,51.0,9.0,15.0,28.0,13.0,6.0,15.0,14.0
282.0,8.0,7.0,7.0,6.0,29.0,37.0,9.0,9.0,46.0,13.0
283.0,5.0,14.0,9.0,12.0,12.0,35.0,8.0,7.0,13.0,10.0
284.0,13.0,10.0,42.0,6.0,23.0,46.0,7.0,14.0,23.0,16.0
285.0,10.0,8.0,6.0,8.0,11.0,24.0,14.0,11.0,25.0,7.0
286.0,20.0,11.0,18.0,11.0,15.0,26.0,13.0,17.0,45.0,9.0
287.0,13.0,5.0,6.0,6.0,10.0,61.0,14.0,33.0,33.0,33.0
288.0,11.0,6.0,9.0,5.0,11.0,27.0,16.0,8.0,27.0,28.0
289.0,5.0,13.0,11.0,7.0,12.0,57.0,23.0,14.0,12.0,10.0
290.0,6.0,9.0,9.0,6.0,12.0,11.0,23.0,7.0,37.0,11.0
291.0,11.0,9.0,24.0,8.0,11.0,15.0,20.0,9.0,17.0,6.0
292.0,14.0,8.0,33.0,8.0,28.0,14.0,22.0,6.0,33.0,6.0
293.0,8.0,8.0,7.0,15.0,33.0,35.0,11.0,9.0,14.0,12.0
294.0,12.0,10.0,12.0,11.0,26.0,11.0,15.0,11.0,19.0,9.0
295.0,5.0,15.0,10.0,13.0,17.0,18.0,34.0,4.0,11.0,5.0
296.0,18.0,4.0,6.0,15.0,15.0,16.0,6.0,9.0,8.0,7.0
297.0,6.0,13.0,26.0,19.0,15.0,24.0,15.0,9.0,37.0,11.0
298.0,9.0,16.0,8.0,6.0,11.0,7.0,9.0,6.0,25.0,5.0
299.0,12.0,6.0,12.0,11.0,16.0,33.0,5.0,5.0,12.0,4.0
300.0,13.0,13.0,18.0,9.0,20.0,24.0,18.0,9.0,32.0,8.0
301.0,7.0,25.0,21.0,13.0,15.0,25.0,12.0,8.0,22.0,6.0
302.0,11.0,4.0,18.0,8.0,33.0,13.0,16.0,15.0,28.0,10.0
303.0,5.0,4.0,20.0,6.0,6.0,32.0,14.0,7.0,36.0,11.0
304.0,8.0,10.0,28.0,7.0,10.0,54.0,18.0,15.0,12.0,14.0
305.0,9.0,12.0,10.0,9.0,19.0,21.0,13.0,11.0,17.0,4.0
306.0,8.0,4.0,8.0,13.0,18.0,27.0,7.0,5.0,22.0,6.0
307.0,10.0,18.0,7.0,5.0,14.0,16.0,10.0,7.0,20.0,13.0
308.0,9.0,28.0,17.0,7.0,36.0,35.0,9.0,5.0,7.0,27.0
309.0,4.0,11.0,10.0,27.0,9.0,46.0,7.0,7.0,8.0,7.0
310.0,7.0,6.0,10.0,27.0,18.0,29.0,10.0,4.0,60.0,14.0
311.0,14.0,13.0,19.0,9.0,19.0,40.0,22.0,12.0,30.0,35.0
312.0,8.0,6.0,12.0,8.0,18.0,61.0,21.0,7.0,26.0,6.0
313.0,12.0,6.0,7.0,7.0,14.0,49.0,16.0,10.0,15.0,8.0
314.0,7.0,19.0,8.0,15.0,12.0,22.0,8.0,9.0,29.0,16.0
315.0,6.0,7.0,9.0,9.0,18.0,44.0,4.0,24.0,30.0,5.0
