Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
233.0,12.0,84.0,17.0,47.0
154.0,11.0,195.0,10.0,13.0
153.0,25.0,165.0,18.0,22.0
256.0,16.0,156.0,10.0,13.0
54.0,13.0,108.0,24.0,10.0
116.0,16.0,100.0,36.0,55.0
165.0,13.0,130.0,12.0,23.0
206.0,10.0,113.0,22.0,19.0
246.0,10.0,98.0,17.0,14.0
110.0,13.0,164.0,38.0,22.0
243.0,11.0,116.0,54.0,16.0
299.0,9.0,98.0,34.0,15.0
163.0,12.0,112.0,34.0,29.0
420.0,35.0,109.0,33.0,19.0
247.0,39.0,108.0,15.0,10.0
282.0,22.0,185.0,17.0,35.0
466.0,13.0,101.0,28.0,21.0
124.0,14.0,154.0,28.0,27.0
63.0,20.0,143.0,11.0,16.0
151.0,13.0,133.0,18.0,31.0
302.0,11.0,125.0,10.0,28.0
83.0,20.0,149.0,19.0,12.0
122.0,29.0,55.0,33.0,9.0
367.0,63.0,60.0,12.0,31.0
201.0,14.0,47.0,44.0,10.0
252.0,10.0,50.0,20.0,22.0
176.0,10.0,68.0,14.0,33.0
203.0,36.0,37.0,34.0,25.0
276.0,28.0,77.0,12.0,10.0
193.0,19.0,60.0,10.0,20.0
294.0,33.0,44.0,21.0,19.0
165.0,44.0,53.0,10.0,41.0
95.0,26.0,64.0,26.0,35.0
240.0,15.0,59.0,28.0,19.0
160.0,8.0,107.0,14.0,22.0
124.0,39.0,52.0,53.0,12.0
436.0,10.0,55.0,13.0,27.0
141.0,11.0,68.0,21.0,42.0
230.0,19.0,281.0,20.0,31.0
184.0,24.0,254.0,11.0,26.0
468.0,20.0,337.0,17.0,33.0
251.0,18.0,299.0,13.0,30.0
231.0,11.0,435.0,18.0,17.0
411.0,14.0,180.0,26.0,31.0
278.0,21.0,327.0,33.0,24.0
389.0,10.0,500.0,17.0,48.0
246.0,11.0,303.0,18.0,13.0
500.0,17.0,347.0,20.0,56.0
500.0,26.0,399.0,42.0,19.0
403.0,19.0,500.0,28.0,26.0
179.0,36.0,500.0,25.0,30.0
281.0,10.0,500.0,11.0,28.0
217.0,24.0,427.0,37.0,33.0
188.0,12.0,345.0,57.0,19.0
173.0,10.0,329.0,52.0,66.0
429.0,20.0,500.0,26.0,19.0
378.0,13.0,500.0,21.0,22.0
309.0,15.0,500.0,46.0,19.0
500.0,21.0,500.0,36.0,16.0
331.0,12.0,500.0,25.0,40.0
320.0,10.0,500.0,23.0,11.0
321.0,19.0,500.0,10.0,41.0
293.0,32.0,428.0,17.0,18.0
240.0,32.0,280.0,30.0,16.0
500.0,13.0,344.0,13.0,17.0
288.0,25.0,205.0,24.0,17.0
496.0,14.0,315.0,14.0,15.0
500.0,31.0,155.0,16.0,48.0
440.0,18.0,149.0,11.0,25.0
500.0,28.0,174.0,15.0,19.0
500.0,36.0,120.0,68.0,19.0
413.0,13.0,135.0,33.0,16.0
334.0,12.0,121.0,17.0,22.0
500.0,34.0,124.0,16.0,18.0
395.0,31.0,100.0,18.0,28.0
400.0,22.0,103.0,38.0,25.0
232.0,18.0,71.0,15.0,124.0
144.0,35.0,52.0,14.0,63.0
