Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
19.0,94.0,500.0,10.0,120.0,16.0,70.0,15.0,26.0,22.0
13.0,110.0,500.0,40.0,74.0,22.0,117.0,12.0,61.0,27.0
90.0,65.0,500.0,29.0,34.0,38.0,176.0,16.0,34.0,12.0
23.0,63.0,500.0,12.0,35.0,17.0,193.0,16.0,18.0,19.0
129.0,41.0,500.0,26.0,32.0,30.0,141.0,29.0,14.0,18.0
36.0,53.0,500.0,24.0,37.0,21.0,101.0,12.0,8.0,49.0
78.0,29.0,500.0,34.0,57.0,16.0,86.0,22.0,62.0,14.0
38.0,125.0,500.0,35.0,46.0,24.0,163.0,13.0,12.0,15.0
22.0,90.0,500.0,15.0,46.0,24.0,222.0,11.0,10.0,18.0
67.0,51.0,500.0,23.0,36.0,21.0,148.0,19.0,49.0,51.0
67.0,58.0,500.0,19.0,46.0,13.0,275.0,15.0,29.0,42.0
35.0,93.0,500.0,14.0,50.0,23.0,319.0,25.0,13.0,25.0
34.0,114.0,135.0,19.0,67.0,10.0,276.0,35.0,22.0,37.0
77.0,126.0,500.0,61.0,199.0,12.0,500.0,22.0,28.0,56.0
41.0,114.0,443.0,46.0,121.0,12.0,500.0,24.0,15.0,16.0
58.0,142.0,366.0,14.0,126.0,17.0,500.0,13.0,27.0,27.0
72.0,113.0,73.0,21.0,86.0,13.0,500.0,10.0,36.0,19.0
29.0,58.0,500.0,13.0,144.0,11.0,127.0,16.0,12.0,13.0
15.0,65.0,500.0,12.0,95.0,30.0,84.0,28.0,37.0,15.0
49.0,77.0,500.0,14.0,114.0,30.0,113.0,13.0,24.0,55.0
87.0,113.0,500.0,19.0,52.0,11.0,101.0,15.0,18.0,14.0
22.0,34.0,500.0,11.0,111.0,20.0,105.0,25.0,22.0,23.0
31.0,59.0,349.0,15.0,57.0,13.0,113.0,45.0,65.0,19.0
57.0,116.0,326.0,13.0,70.0,25.0,116.0,59.0,18.0,21.0
57.0,23.0,355.0,10.0,182.0,59.0,110.0,25.0,55.0,18.0
65.0,67.0,500.0,13.0,111.0,13.0,124.0,14.0,21.0,14.0
50.0,70.0,500.0,15.0,147.0,34.0,101.0,11.0,19.0,18.0
59.0,105.0,500.0,25.0,89.0,16.0,47.0,16.0,41.0,16.0
34.0,132.0,500.0,19.0,276.0,12.0,37.0,19.0,26.0,33.0
48.0,193.0,500.0,39.0,155.0,45.0,46.0,14.0,27.0,11.0
64.0,86.0,500.0,9.0,191.0,17.0,55.0,30.0,23.0,70.0
65.0,186.0,500.0,10.0,132.0,29.0,36.0,14.0,27.0,37.0
110.0,202.0,500.0,25.0,500.0,28.0,127.0,17.0,39.0,55.0
61.0,143.0,500.0,47.0,359.0,10.0,115.0,13.0,23.0,17.0
22.0,71.0,500.0,17.0,402.0,18.0,131.0,33.0,12.0,23.0
57.0,94.0,500.0,24.0,207.0,14.0,87.0,18.0,42.0,24.0
207.0,120.0,500.0,23.0,380.0,39.0,105.0,26.0,49.0,31.0
37.0,70.0,500.0,29.0,121.0,26.0,206.0,17.0,31.0,9.0
67.0,191.0,500.0,17.0,123.0,22.0,304.0,21.0,68.0,18.0
58.0,92.0,500.0,35.0,139.0,12.0,196.0,11.0,39.0,18.0
22.0,113.0,500.0,23.0,129.0,13.0,216.0,25.0,44.0,20.0
34.0,159.0,500.0,14.0,138.0,13.0,260.0,31.0,15.0,45.0
21.0,146.0,500.0,17.0,116.0,24.0,319.0,14.0,20.0,20.0
56.0,91.0,500.0,9.0,141.0,13.0,399.0,26.0,12.0,13.0
17.0,169.0,500.0,14.0,130.0,12.0,500.0,18.0,14.0,50.0
65.0,192.0,500.0,27.0,169.0,16.0,257.0,11.0,32.0,51.0
66.0,195.0,500.0,33.0,141.0,19.0,313.0,25.0,14.0,19.0
23.0,148.0,500.0,25.0,53.0,19.0,136.0,10.0,44.0,18.0
95.0,226.0,500.0,16.0,446.0,16.0,185.0,17.0,14.0,53.0
61.0,196.0,500.0,18.0,500.0,11.0,404.0,34.0,67.0,22.0
52.0,235.0,500.0,17.0,500.0,38.0,154.0,20.0,29.0,29.0
102.0,144.0,500.0,36.0,500.0,13.0,251.0,14.0,28.0,31.0
63.0,98.0,500.0,13.0,500.0,10.0,170.0,16.0,45.0,19.0
86.0,249.0,500.0,53.0,316.0,16.0,294.0,23.0,59.0,35.0
167.0,122.0,500.0,14.0,500.0,26.0,179.0,29.0,43.0,35.0
31.0,128.0,500.0,35.0,500.0,16.0,191.0,16.0,25.0,26.0
62.0,30.0,500.0,18.0,500.0,27.0,103.0,16.0,36.0,58.0
135.0,68.0,231.0,15.0,365.0,20.0,240.0,22.0,43.0,14.0
139.0,110.0,215.0,12.0,500.0,14.0,144.0,47.0,40.0,34.0
74.0,124.0,367.0,21.0,500.0,51.0,135.0,19.0,35.0,16.0
38.0,85.0,124.0,22.0,500.0,17.0,154.0,34.0,31.0,25.0
33.0,129.0,96.0,16.0,500.0,12.0,365.0,22.0,58.0,27.0
105.0,90.0,117.0,16.0,500.0,20.0,133.0,14.0,13.0,30.0
28.0,500.0,143.0,28.0,500.0,12.0,214.0,21.0,58.0,42.0
77.0,500.0,302.0,12.0,500.0,21.0,247.0,52.0,9.0,39.0
114.0,339.0,113.0,18.0,500.0,18.0,202.0,31.0,48.0,58.0
180.0,125.0,125.0,16.0,500.0,32.0,160.0,15.0,29.0,15.0
22.0,325.0,46.0,32.0,215.0,16.0,181.0,12.0,39.0,34.0
93.0,323.0,108.0,60.0,252.0,19.0,254.0,10.0,28.0,25.0
44.0,309.0,108.0,16.0,375.0,16.0,195.0,25.0,17.0,22.0
12.0,141.0,111.0,18.0,225.0,23.0,210.0,24.0,17.0,45.0
30.0,358.0,106.0,14.0,235.0,37.0,247.0,18.0,19.0,28.0
71.0,363.0,109.0,18.0,344.0,32.0,161.0,17.0,51.0,26.0
115.0,168.0,76.0,18.0,268.0,20.0,172.0,11.0,49.0,27.0
50.0,447.0,113.0,34.0,188.0,16.0,226.0,21.0,21.0,16.0
49.0,200.0,101.0,13.0,297.0,26.0,219.0,26.0,39.0,54.0
56.0,133.0,91.0,12.0,223.0,26.0,198.0,29.0,41.0,46.0
38.0,283.0,86.0,31.0,337.0,14.0,162.0,31.0,63.0,16.0
147.0,272.0,76.0,39.0,236.0,29.0,132.0,11.0,28.0,54.0
18.0,344.0,111.0,12.0,228.0,36.0,163.0,8.0,24.0,72.0
48.0,173.0,97.0,33.0,258.0,26.0,189.0,16.0,35.0,9.0
83.0,238.0,127.0,15.0,172.0,19.0,150.0,17.0,50.0,16.0
30.0,297.0,184.0,18.0,143.0,14.0,331.0,29.0,54.0,33.0
99.0,148.0,256.0,22.0,142.0,26.0,395.0,29.0,49.0,27.0
44.0,218.0,316.0,13.0,173.0,13.0,350.0,12.0,25.0,18.0
32.0,298.0,321.0,47.0,125.0,15.0,238.0,27.0,48.0,24.0
62.0,156.0,500.0,11.0,175.0,80.0,75.0,52.0,66.0,63.0
115.0,222.0,500.0,17.0,107.0,19.0,362.0,32.0,21.0,33.0
151.0,376.0,500.0,30.0,102.0,24.0,138.0,25.0,115.0,39.0
157.0,132.0,500.0,9.0,90.0,22.0,293.0,13.0,46.0,21.0
104.0,500.0,500.0,14.0,73.0,13.0,284.0,13.0,23.0,11.0
85.0,133.0,500.0,24.0,59.0,17.0,206.0,19.0,104.0,10.0
124.0,219.0,500.0,16.0,386.0,17.0,133.0,16.0,66.0,29.0
117.0,19.0,500.0,17.0,117.0,15.0,143.0,26.0,64.0,20.0
113.0,82.0,500.0,13.0,237.0,13.0,500.0,16.0,68.0,34.0
189.0,186.0,500.0,23.0,233.0,28.0,325.0,29.0,33.0,22.0
114.0,168.0,500.0,28.0,145.0,21.0,500.0,36.0,52.0,16.0
93.0,232.0,500.0,11.0,392.0,40.0,500.0,22.0,46.0,18.0
116.0,219.0,500.0,38.0,128.0,16.0,500.0,83.0,66.0,11.0
95.0,326.0,500.0,24.0,164.0,13.0,500.0,18.0,21.0,43.0
54.0,222.0,500.0,26.0,98.0,10.0,152.0,29.0,56.0,15.0
35.0,310.0,500.0,37.0,147.0,61.0,500.0,27.0,60.0,24.0
90.0,200.0,500.0,16.0,266.0,24.0,312.0,31.0,54.0,15.0
91.0,222.0,500.0,12.0,163.0,11.0,321.0,24.0,129.0,30.0
136.0,217.0,500.0,29.0,129.0,15.0,484.0,26.0,35.0,20.0
82.0,183.0,500.0,23.0,151.0,29.0,500.0,50.0,75.0,14.0
164.0,220.0,500.0,69.0,288.0,25.0,298.0,12.0,145.0,42.0
55.0,137.0,500.0,15.0,284.0,35.0,271.0,18.0,49.0,14.0
40.0,216.0,500.0,22.0,167.0,27.0,500.0,22.0,50.0,14.0
41.0,214.0,500.0,13.0,239.0,38.0,500.0,15.0,35.0,46.0
55.0,174.0,500.0,21.0,368.0,27.0,262.0,18.0,285.0,26.0
133.0,131.0,215.0,35.0,367.0,15.0,500.0,34.0,69.0,60.0
85.0,324.0,206.0,14.0,500.0,15.0,250.0,12.0,75.0,24.0
112.0,262.0,134.0,22.0,208.0,15.0,190.0,38.0,84.0,17.0
84.0,249.0,255.0,18.0,428.0,15.0,212.0,53.0,18.0,17.0
237.0,246.0,447.0,26.0,293.0,35.0,382.0,23.0,115.0,27.0
201.0,262.0,500.0,13.0,500.0,15.0,133.0,14.0,70.0,37.0
101.0,321.0,500.0,23.0,500.0,11.0,500.0,51.0,86.0,85.0
195.0,304.0,500.0,19.0,500.0,32.0,500.0,18.0,44.0,31.0
151.0,250.0,500.0,12.0,425.0,33.0,500.0,19.0,61.0,36.0
89.0,168.0,500.0,21.0,438.0,48.0,275.0,13.0,136.0,53.0
129.0,258.0,500.0,62.0,500.0,14.0,140.0,11.0,48.0,73.0
145.0,500.0,500.0,32.0,198.0,12.0,244.0,11.0,116.0,72.0
177.0,500.0,500.0,17.0,336.0,18.0,282.0,24.0,52.0,57.0
36.0,335.0,500.0,14.0,174.0,15.0,500.0,70.0,36.0,26.0
189.0,500.0,500.0,13.0,166.0,19.0,358.0,32.0,186.0,18.0
147.0,500.0,500.0,34.0,147.0,23.0,441.0,15.0,52.0,36.0
76.0,323.0,399.0,16.0,143.0,12.0,500.0,16.0,43.0,31.0
266.0,354.0,182.0,19.0,152.0,28.0,500.0,17.0,73.0,51.0
83.0,191.0,276.0,15.0,137.0,74.0,500.0,11.0,14.0,35.0
227.0,167.0,248.0,15.0,212.0,16.0,500.0,13.0,187.0,55.0
94.0,225.0,478.0,16.0,158.0,37.0,500.0,26.0,176.0,28.0
355.0,174.0,500.0,15.0,230.0,42.0,500.0,12.0,99.0,22.0
500.0,378.0,500.0,20.0,242.0,32.0,500.0,31.0,70.0,36.0
144.0,365.0,500.0,29.0,187.0,21.0,500.0,22.0,92.0,27.0
232.0,172.0,500.0,13.0,260.0,26.0,497.0,16.0,298.0,72.0
370.0,368.0,500.0,42.0,281.0,21.0,500.0,12.0,199.0,23.0
225.0,500.0,500.0,24.0,309.0,32.0,143.0,11.0,219.0,25.0
286.0,260.0,500.0,28.0,376.0,12.0,120.0,32.0,422.0,32.0
29.0,423.0,500.0,18.0,356.0,39.0,104.0,16.0,28.0,66.0
271.0,172.0,500.0,24.0,219.0,19.0,130.0,17.0,124.0,46.0
325.0,183.0,500.0,46.0,147.0,44.0,122.0,28.0,191.0,23.0
134.0,329.0,500.0,12.0,210.0,14.0,133.0,21.0,244.0,39.0
108.0,500.0,500.0,30.0,255.0,51.0,99.0,11.0,191.0,48.0
150.0,471.0,500.0,16.0,244.0,24.0,133.0,52.0,132.0,37.0
132.0,500.0,500.0,15.0,43.0,46.0,113.0,48.0,145.0,22.0
127.0,500.0,500.0,64.0,164.0,15.0,101.0,32.0,195.0,31.0
62.0,500.0,500.0,13.0,179.0,18.0,129.0,13.0,126.0,42.0
188.0,500.0,500.0,14.0,199.0,14.0,131.0,13.0,108.0,62.0
162.0,500.0,500.0,11.0,150.0,25.0,105.0,11.0,128.0,90.0
151.0,500.0,500.0,31.0,161.0,23.0,36.0,15.0,202.0,16.0
189.0,500.0,500.0,22.0,176.0,28.0,112.0,19.0,139.0,29.0
234.0,467.0,500.0,10.0,160.0,16.0,119.0,20.0,243.0,20.0
141.0,313.0,500.0,16.0,228.0,24.0,72.0,13.0,160.0,67.0
240.0,307.0,313.0,20.0,196.0,11.0,113.0,17.0,127.0,36.0
241.0,196.0,437.0,15.0,231.0,30.0,100.0,14.0,221.0,69.0
97.0,451.0,365.0,11.0,500.0,18.0,93.0,25.0,156.0,76.0
231.0,478.0,147.0,69.0,448.0,39.0,67.0,34.0,148.0,16.0
136.0,245.0,142.0,21.0,209.0,60.0,94.0,23.0,133.0,51.0
160.0,500.0,113.0,40.0,300.0,17.0,70.0,16.0,110.0,46.0
316.0,500.0,117.0,21.0,340.0,12.0,75.0,14.0,222.0,41.0
198.0,445.0,126.0,18.0,201.0,13.0,84.0,36.0,380.0,31.0
104.0,148.0,105.0,16.0,428.0,62.0,119.0,54.0,192.0,47.0
229.0,201.0,101.0,16.0,232.0,28.0,102.0,32.0,115.0,58.0
173.0,239.0,117.0,20.0,160.0,73.0,132.0,26.0,174.0,30.0
161.0,176.0,120.0,12.0,346.0,31.0,116.0,46.0,132.0,34.0
141.0,183.0,118.0,51.0,285.0,22.0,110.0,21.0,375.0,37.0
490.0,140.0,121.0,24.0,179.0,39.0,145.0,16.0,102.0,22.0
166.0,158.0,130.0,23.0,500.0,57.0,122.0,61.0,177.0,66.0
356.0,155.0,125.0,11.0,162.0,29.0,147.0,21.0,114.0,26.0
272.0,145.0,131.0,16.0,144.0,28.0,139.0,14.0,112.0,41.0
141.0,134.0,151.0,9.0,202.0,19.0,137.0,13.0,182.0,25.0
126.0,163.0,157.0,16.0,207.0,21.0,126.0,34.0,184.0,25.0
118.0,207.0,149.0,24.0,193.0,10.0,133.0,26.0,100.0,49.0
135.0,140.0,153.0,26.0,119.0,13.0,149.0,38.0,190.0,29.0
233.0,133.0,150.0,23.0,137.0,14.0,137.0,17.0,101.0,18.0
105.0,198.0,124.0,33.0,253.0,25.0,148.0,14.0,500.0,11.0
138.0,138.0,208.0,14.0,159.0,20.0,66.0,15.0,374.0,47.0
239.0,142.0,163.0,18.0,37.0,27.0,194.0,21.0,211.0,37.0
110.0,168.0,500.0,24.0,237.0,34.0,149.0,28.0,426.0,11.0
41.0,154.0,465.0,14.0,177.0,14.0,112.0,22.0,237.0,28.0
152.0,124.0,500.0,21.0,71.0,14.0,143.0,27.0,144.0,29.0
170.0,143.0,500.0,16.0,223.0,28.0,127.0,20.0,292.0,13.0
213.0,121.0,500.0,18.0,27.0,12.0,152.0,20.0,306.0,34.0
140.0,150.0,500.0,54.0,121.0,11.0,117.0,21.0,220.0,68.0
129.0,141.0,272.0,36.0,242.0,15.0,122.0,29.0,328.0,41.0
112.0,131.0,500.0,23.0,121.0,19.0,122.0,19.0,153.0,32.0
224.0,381.0,500.0,15.0,319.0,38.0,115.0,23.0,134.0,78.0
209.0,412.0,500.0,14.0,204.0,20.0,82.0,18.0,131.0,12.0
193.0,398.0,500.0,30.0,237.0,12.0,108.0,19.0,364.0,23.0
163.0,500.0,500.0,16.0,216.0,12.0,119.0,22.0,211.0,19.0
132.0,500.0,500.0,12.0,220.0,13.0,87.0,14.0,260.0,45.0
185.0,500.0,500.0,29.0,176.0,22.0,107.0,37.0,500.0,78.0
