Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
42.0,12.0,13.0,16.0,14.0
13.0,9.0,13.0,19.0,14.0
16.0,13.0,42.0,48.0,18.0
23.0,13.0,14.0,16.0,12.0
10.0,24.0,46.0,18.0,27.0
16.0,20.0,32.0,15.0,34.0
24.0,46.0,74.0,17.0,16.0
14.0,24.0,38.0,27.0,20.0
24.0,26.0,29.0,14.0,30.0
16.0,28.0,18.0,19.0,20.0
10.0,14.0,21.0,35.0,16.0
43.0,21.0,38.0,22.0,23.0
33.0,15.0,40.0,21.0,25.0
13.0,17.0,85.0,25.0,12.0
14.0,17.0,84.0,19.0,10.0
14.0,18.0,121.0,42.0,25.0
10.0,45.0,129.0,14.0,25.0
18.0,13.0,172.0,33.0,12.0
54.0,24.0,173.0,11.0,36.0
31.0,16.0,167.0,14.0,15.0
31.0,12.0,53.0,19.0,14.0
34.0,11.0,61.0,11.0,30.0
69.0,37.0,28.0,67.0,14.0
20.0,13.0,66.0,45.0,23.0
81.0,9.0,84.0,19.0,16.0
19.0,16.0,29.0,14.0,12.0
48.0,12.0,21.0,10.0,18.0
15.0,28.0,27.0,12.0,20.0
21.0,17.0,26.0,19.0,14.0
22.0,13.0,35.0,29.0,18.0
37.0,13.0,243.0,31.0,13.0
13.0,9.0,189.0,13.0,17.0
13.0,17.0,125.0,23.0,11.0
34.0,22.0,23.0,28.0,35.0
53.0,20.0,96.0,20.0,29.0
93.0,26.0,39.0,9.0,15.0
44.0,9.0,50.0,27.0,13.0
15.0,30.0,49.0,12.0,33.0
20.0,12.0,47.0,16.0,17.0
36.0,16.0,45.0,13.0,16.0
15.0,12.0,52.0,10.0,14.0
19.0,16.0,40.0,54.0,22.0
38.0,24.0,49.0,10.0,19.0
22.0,15.0,91.0,29.0,28.0
19.0,13.0,124.0,25.0,11.0
32.0,16.0,52.0,21.0,12.0
23.0,18.0,104.0,43.0,30.0
64.0,17.0,103.0,17.0,16.0
36.0,22.0,74.0,15.0,15.0
56.0,12.0,75.0,22.0,19.0
41.0,21.0,409.0,14.0,36.0
18.0,67.0,190.0,34.0,15.0
47.0,24.0,136.0,12.0,11.0
33.0,13.0,142.0,23.0,20.0
40.0,24.0,106.0,20.0,22.0
25.0,77.0,147.0,40.0,12.0
18.0,39.0,222.0,13.0,24.0
45.0,17.0,207.0,32.0,18.0
46.0,18.0,128.0,16.0,17.0
33.0,22.0,289.0,13.0,11.0
27.0,37.0,500.0,19.0,23.0
39.0,20.0,117.0,14.0,17.0
37.0,33.0,500.0,27.0,32.0
36.0,11.0,329.0,17.0,14.0
59.0,12.0,500.0,14.0,22.0
14.0,33.0,146.0,27.0,31.0
38.0,10.0,196.0,12.0,12.0
29.0,11.0,227.0,19.0,11.0
82.0,29.0,121.0,11.0,18.0
93.0,12.0,198.0,36.0,20.0
58.0,17.0,155.0,28.0,17.0
54.0,22.0,173.0,13.0,29.0
70.0,27.0,144.0,16.0,12.0
51.0,18.0,154.0,14.0,16.0
26.0,18.0,140.0,10.0,12.0
30.0,21.0,145.0,32.0,72.0
73.0,10.0,132.0,18.0,19.0
40.0,14.0,137.0,11.0,9.0
26.0,14.0,131.0,13.0,46.0
22.0,17.0,167.0,17.0,25.0
30.0,17.0,236.0,39.0,12.0
24.0,12.0,226.0,15.0,17.0
23.0,29.0,200.0,39.0,11.0
35.0,16.0,318.0,27.0,12.0
35.0,23.0,270.0,12.0,28.0
78.0,14.0,208.0,39.0,18.0
18.0,17.0,187.0,12.0,12.0
66.0,20.0,325.0,18.0,11.0
41.0,12.0,311.0,10.0,18.0
23.0,29.0,161.0,8.0,19.0
39.0,29.0,72.0,14.0,14.0
37.0,20.0,329.0,23.0,58.0
120.0,11.0,217.0,11.0,20.0
69.0,14.0,292.0,27.0,27.0
73.0,11.0,489.0,14.0,37.0
30.0,39.0,348.0,19.0,23.0
25.0,52.0,423.0,14.0,14.0
60.0,12.0,390.0,15.0,22.0
51.0,27.0,376.0,14.0,12.0
30.0,29.0,396.0,9.0,9.0
17.0,24.0,500.0,17.0,12.0
60.0,13.0,500.0,44.0,20.0
73.0,14.0,500.0,14.0,25.0
97.0,12.0,500.0,29.0,21.0
46.0,17.0,500.0,18.0,12.0
21.0,26.0,21.0,10.0,12.0
62.0,9.0,221.0,28.0,18.0
34.0,14.0,198.0,13.0,12.0
26.0,34.0,201.0,9.0,25.0
39.0,27.0,274.0,12.0,16.0
36.0,21.0,216.0,31.0,21.0
51.0,28.0,246.0,17.0,28.0
78.0,19.0,307.0,15.0,26.0
39.0,17.0,500.0,21.0,23.0
61.0,14.0,500.0,30.0,18.0
171.0,11.0,500.0,10.0,16.0
17.0,14.0,406.0,24.0,25.0
102.0,25.0,385.0,50.0,12.0
25.0,22.0,273.0,33.0,25.0
79.0,17.0,500.0,27.0,14.0
33.0,20.0,85.0,35.0,32.0
35.0,16.0,327.0,27.0,20.0
77.0,13.0,496.0,10.0,21.0
37.0,93.0,500.0,43.0,9.0
51.0,26.0,500.0,20.0,21.0
30.0,25.0,500.0,19.0,16.0
101.0,27.0,500.0,21.0,23.0
83.0,15.0,500.0,16.0,32.0
69.0,18.0,500.0,13.0,29.0
36.0,42.0,500.0,36.0,10.0
83.0,10.0,500.0,12.0,13.0
136.0,54.0,500.0,15.0,22.0
127.0,19.0,500.0,39.0,32.0
114.0,22.0,500.0,20.0,23.0
35.0,10.0,500.0,22.0,11.0
122.0,14.0,500.0,28.0,20.0
39.0,15.0,500.0,10.0,37.0
47.0,11.0,500.0,41.0,12.0
