Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
23.0,25.0,25.0,33.0,29.0
21.0,21.0,47.0,37.0,39.0
21.0,17.0,13.0,18.0,22.0
20.0,30.0,25.0,24.0,15.0
32.0,58.0,11.0,18.0,14.0
25.0,33.0,20.0,39.0,23.0
28.0,12.0,15.0,12.0,39.0
25.0,15.0,21.0,26.0,19.0
16.0,14.0,12.0,34.0,44.0
25.0,21.0,16.0,18.0,18.0
16.0,15.0,21.0,15.0,9.0
28.0,38.0,45.0,39.0,12.0
35.0,22.0,26.0,50.0,18.0
19.0,15.0,22.0,19.0,12.0
24.0,12.0,13.0,18.0,12.0
42.0,17.0,27.0,12.0,19.0
33.0,17.0,41.0,30.0,10.0
25.0,17.0,64.0,19.0,73.0
72.0,49.0,40.0,15.0,15.0
37.0,9.0,18.0,24.0,35.0
32.0,9.0,38.0,32.0,18.0
29.0,22.0,17.0,33.0,15.0
14.0,11.0,19.0,20.0,21.0
19.0,15.0,18.0,12.0,16.0
104.0,10.0,51.0,14.0,45.0
31.0,13.0,18.0,42.0,26.0
36.0,37.0,13.0,13.0,16.0
37.0,22.0,14.0,19.0,19.0
47.0,18.0,9.0,30.0,16.0
40.0,32.0,21.0,15.0,19.0
26.0,15.0,13.0,16.0,45.0
65.0,32.0,12.0,55.0,27.0
30.0,12.0,25.0,12.0,21.0
38.0,13.0,82.0,13.0,15.0
43.0,10.0,18.0,20.0,18.0
30.0,25.0,46.0,46.0,19.0
21.0,26.0,46.0,16.0,27.0
49.0,61.0,21.0,34.0,20.0
12.0,12.0,28.0,43.0,18.0
17.0,26.0,24.0,11.0,11.0
26.0,11.0,23.0,28.0,21.0
44.0,51.0,27.0,57.0,15.0
19.0,11.0,42.0,25.0,19.0
65.0,12.0,50.0,17.0,16.0
34.0,16.0,41.0,44.0,22.0
58.0,26.0,32.0,10.0,23.0
30.0,14.0,91.0,26.0,20.0
30.0,17.0,42.0,13.0,12.0
65.0,9.0,106.0,39.0,16.0
14.0,13.0,40.0,25.0,46.0
18.0,17.0,42.0,15.0,25.0
48.0,11.0,33.0,18.0,15.0
38.0,15.0,39.0,34.0,14.0
31.0,29.0,40.0,22.0,13.0
25.0,18.0,23.0,44.0,18.0
61.0,12.0,27.0,18.0,45.0
38.0,20.0,33.0,21.0,13.0
23.0,16.0,20.0,22.0,18.0
62.0,11.0,28.0,38.0,20.0
23.0,10.0,37.0,15.0,31.0
84.0,17.0,128.0,35.0,17.0
33.0,22.0,55.0,29.0,25.0
33.0,13.0,88.0,33.0,15.0
22.0,14.0,114.0,10.0,17.0
109.0,14.0,138.0,30.0,25.0
33.0,13.0,21.0,10.0,13.0
17.0,14.0,85.0,37.0,29.0
22.0,11.0,113.0,16.0,13.0
31.0,14.0,34.0,32.0,21.0
42.0,22.0,59.0,37.0,26.0
110.0,10.0,94.0,10.0,28.0
105.0,14.0,125.0,11.0,20.0
43.0,26.0,107.0,33.0,34.0
53.0,12.0,133.0,34.0,24.0
38.0,36.0,204.0,11.0,44.0
96.0,67.0,92.0,37.0,33.0
60.0,18.0,91.0,23.0,51.0
61.0,10.0,36.0,15.0,19.0
79.0,16.0,33.0,21.0,12.0
23.0,17.0,75.0,21.0,13.0
113.0,14.0,164.0,15.0,10.0
53.0,27.0,202.0,14.0,18.0
47.0,15.0,500.0,42.0,12.0
23.0,25.0,180.0,29.0,19.0
36.0,20.0,118.0,23.0,13.0
28.0,20.0,245.0,23.0,20.0
60.0,13.0,222.0,21.0,29.0
50.0,14.0,302.0,17.0,36.0
77.0,13.0,317.0,14.0,17.0
29.0,13.0,344.0,19.0,15.0
53.0,21.0,500.0,19.0,32.0
68.0,16.0,387.0,39.0,13.0
192.0,18.0,500.0,32.0,16.0
131.0,42.0,500.0,13.0,13.0
77.0,44.0,500.0,20.0,13.0
22.0,45.0,29.0,29.0,14.0
78.0,33.0,500.0,99.0,28.0
54.0,28.0,500.0,10.0,23.0
75.0,13.0,500.0,44.0,20.0
65.0,11.0,500.0,16.0,21.0
61.0,22.0,370.0,16.0,11.0
91.0,28.0,500.0,22.0,21.0
64.0,18.0,407.0,24.0,49.0
40.0,41.0,130.0,16.0,31.0
31.0,18.0,243.0,15.0,20.0
63.0,13.0,352.0,11.0,21.0
33.0,30.0,500.0,24.0,21.0
69.0,22.0,500.0,32.0,24.0
103.0,18.0,374.0,26.0,12.0
60.0,65.0,500.0,16.0,20.0
88.0,44.0,500.0,18.0,23.0
47.0,11.0,369.0,19.0,16.0
59.0,38.0,85.0,13.0,14.0
112.0,17.0,500.0,18.0,13.0
157.0,13.0,372.0,18.0,14.0
12.0,19.0,349.0,16.0,58.0
48.0,17.0,370.0,14.0,19.0
55.0,19.0,160.0,19.0,32.0
96.0,11.0,153.0,11.0,25.0
67.0,16.0,277.0,17.0,27.0
71.0,16.0,139.0,14.0,29.0
87.0,13.0,71.0,20.0,11.0
113.0,27.0,82.0,26.0,16.0
195.0,15.0,105.0,22.0,53.0
105.0,12.0,410.0,21.0,17.0
304.0,23.0,500.0,15.0,17.0
178.0,12.0,31.0,38.0,17.0
349.0,14.0,78.0,24.0,11.0
101.0,13.0,394.0,26.0,21.0
109.0,9.0,162.0,41.0,12.0
52.0,50.0,108.0,12.0,24.0
27.0,15.0,109.0,55.0,12.0
17.0,18.0,110.0,30.0,24.0
95.0,17.0,119.0,12.0,33.0
31.0,11.0,108.0,30.0,11.0
82.0,100.0,109.0,18.0,15.0
25.0,18.0,104.0,29.0,12.0
160.0,12.0,97.0,70.0,34.0
91.0,20.0,41.0,18.0,20.0
89.0,17.0,53.0,53.0,24.0
23.0,34.0,35.0,11.0,27.0
89.0,19.0,123.0,41.0,34.0
346.0,10.0,105.0,10.0,18.0
262.0,42.0,109.0,19.0,11.0
141.0,15.0,62.0,20.0,21.0
63.0,16.0,94.0,13.0,18.0
142.0,12.0,57.0,31.0,29.0
79.0,14.0,45.0,30.0,30.0
75.0,15.0,99.0,37.0,19.0
95.0,17.0,110.0,14.0,20.0
82.0,10.0,160.0,29.0,16.0
149.0,27.0,193.0,20.0,9.0
254.0,21.0,149.0,12.0,11.0
179.0,33.0,175.0,16.0,17.0
256.0,18.0,171.0,37.0,30.0
182.0,9.0,292.0,50.0,29.0
51.0,37.0,268.0,12.0,46.0
219.0,12.0,300.0,19.0,21.0
134.0,24.0,228.0,34.0,44.0
145.0,14.0,255.0,13.0,36.0
256.0,36.0,108.0,34.0,31.0
159.0,9.0,112.0,12.0,14.0
185.0,34.0,137.0,33.0,19.0
187.0,14.0,118.0,18.0,45.0
249.0,14.0,148.0,18.0,16.0
51.0,40.0,29.0,31.0,20.0
152.0,21.0,54.0,20.0,12.0
173.0,33.0,126.0,35.0,11.0
174.0,21.0,106.0,15.0,24.0
352.0,58.0,41.0,16.0,16.0
270.0,22.0,210.0,12.0,11.0
190.0,12.0,194.0,70.0,30.0
388.0,39.0,151.0,44.0,18.0
234.0,11.0,224.0,25.0,26.0
186.0,30.0,190.0,37.0,27.0
202.0,15.0,417.0,34.0,12.0
338.0,15.0,500.0,58.0,26.0
348.0,16.0,500.0,11.0,15.0
152.0,18.0,500.0,31.0,24.0
167.0,10.0,500.0,12.0,23.0
163.0,24.0,124.0,21.0,42.0
175.0,18.0,104.0,83.0,16.0
160.0,16.0,107.0,22.0,23.0
104.0,15.0,119.0,10.0,11.0
141.0,24.0,108.0,27.0,40.0
96.0,16.0,112.0,11.0,11.0
150.0,10.0,500.0,14.0,9.0
57.0,34.0,122.0,32.0,25.0
216.0,15.0,123.0,27.0,15.0
239.0,15.0,33.0,37.0,20.0
148.0,23.0,117.0,33.0,14.0
159.0,37.0,121.0,38.0,11.0
438.0,13.0,155.0,27.0,19.0
264.0,21.0,123.0,67.0,21.0
219.0,30.0,129.0,14.0,34.0
384.0,26.0,197.0,38.0,51.0
371.0,10.0,154.0,19.0,22.0
436.0,13.0,158.0,23.0,22.0
81.0,15.0,173.0,25.0,10.0
500.0,12.0,135.0,14.0,23.0
100.0,45.0,138.0,16.0,21.0
353.0,24.0,261.0,36.0,25.0
500.0,21.0,34.0,24.0,17.0
129.0,53.0,254.0,38.0,28.0
214.0,20.0,156.0,46.0,43.0
327.0,15.0,88.0,21.0,19.0
288.0,19.0,47.0,34.0,16.0
156.0,14.0,17.0,29.0,11.0
254.0,18.0,86.0,27.0,15.0
459.0,11.0,43.0,12.0,19.0
73.0,14.0,65.0,33.0,13.0
267.0,68.0,36.0,30.0,11.0
158.0,21.0,83.0,45.0,18.0
316.0,13.0,10.0,46.0,29.0
500.0,19.0,137.0,34.0,15.0
500.0,29.0,500.0,34.0,16.0
330.0,20.0,432.0,64.0,40.0
500.0,36.0,368.0,29.0,12.0
451.0,10.0,449.0,58.0,46.0
218.0,65.0,367.0,22.0,19.0
500.0,32.0,272.0,21.0,37.0
324.0,17.0,176.0,37.0,23.0
500.0,15.0,350.0,10.0,10.0
500.0,10.0,500.0,20.0,20.0
500.0,12.0,500.0,32.0,21.0
189.0,18.0,500.0,12.0,10.0
271.0,41.0,500.0,36.0,27.0
262.0,21.0,500.0,23.0,25.0
129.0,18.0,500.0,25.0,23.0
210.0,19.0,500.0,36.0,41.0
237.0,19.0,500.0,26.0,14.0
372.0,19.0,500.0,22.0,20.0
