Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
38.0,27.0,10.0,46.0,55.0,31.0,31.0,10.0,18.0,16.0
10.0,22.0,10.0,13.0,26.0,17.0,20.0,21.0,14.0,31.0
28.0,31.0,19.0,15.0,39.0,31.0,12.0,41.0,8.0,11.0
10.0,21.0,13.0,25.0,12.0,8.0,14.0,20.0,12.0,34.0
12.0,21.0,32.0,11.0,25.0,14.0,20.0,28.0,15.0,10.0
19.0,21.0,14.0,16.0,20.0,23.0,14.0,19.0,23.0,30.0
19.0,42.0,10.0,16.0,25.0,11.0,30.0,27.0,15.0,36.0
26.0,21.0,16.0,18.0,21.0,20.0,15.0,18.0,15.0,17.0
21.0,11.0,14.0,13.0,26.0,17.0,61.0,27.0,14.0,24.0
30.0,68.0,9.0,13.0,38.0,30.0,22.0,19.0,17.0,27.0
34.0,31.0,33.0,15.0,24.0,39.0,51.0,17.0,10.0,11.0
20.0,21.0,13.0,14.0,25.0,16.0,40.0,34.0,13.0,14.0
32.0,20.0,20.0,18.0,19.0,16.0,46.0,30.0,14.0,17.0
18.0,12.0,13.0,17.0,13.0,26.0,27.0,23.0,17.0,27.0
28.0,21.0,17.0,11.0,21.0,11.0,13.0,24.0,12.0,18.0
10.0,23.0,21.0,20.0,22.0,19.0,28.0,42.0,26.0,20.0
20.0,15.0,16.0,25.0,15.0,19.0,13.0,15.0,17.0,13.0
18.0,15.0,17.0,11.0,18.0,18.0,12.0,20.0,13.0,54.0
32.0,19.0,38.0,28.0,21.0,15.0,30.0,12.0,22.0,22.0
11.0,20.0,11.0,20.0,23.0,13.0,14.0,15.0,14.0,13.0
35.0,35.0,17.0,27.0,13.0,21.0,20.0,14.0,28.0,12.0
27.0,30.0,11.0,15.0,9.0,25.0,13.0,34.0,13.0,40.0
78.0,14.0,14.0,23.0,10.0,36.0,48.0,66.0,12.0,22.0
21.0,23.0,19.0,13.0,19.0,31.0,26.0,21.0,13.0,19.0
34.0,84.0,20.0,21.0,10.0,23.0,16.0,19.0,12.0,17.0
27.0,14.0,13.0,11.0,41.0,14.0,30.0,15.0,14.0,25.0
18.0,46.0,29.0,13.0,39.0,21.0,42.0,15.0,19.0,22.0
95.0,49.0,22.0,44.0,37.0,13.0,106.0,21.0,18.0,30.0
38.0,56.0,10.0,13.0,16.0,12.0,44.0,13.0,20.0,22.0
13.0,13.0,40.0,19.0,40.0,9.0,51.0,29.0,25.0,16.0
26.0,14.0,18.0,25.0,14.0,25.0,52.0,24.0,23.0,10.0
32.0,51.0,11.0,14.0,15.0,15.0,14.0,20.0,59.0,12.0
50.0,20.0,20.0,19.0,25.0,12.0,28.0,35.0,44.0,15.0
21.0,25.0,19.0,21.0,19.0,40.0,41.0,10.0,23.0,12.0
30.0,13.0,37.0,11.0,20.0,13.0,43.0,10.0,41.0,30.0
20.0,37.0,14.0,22.0,15.0,22.0,72.0,25.0,15.0,20.0
36.0,27.0,9.0,8.0,16.0,17.0,35.0,21.0,12.0,13.0
22.0,17.0,17.0,12.0,18.0,17.0,102.0,20.0,21.0,13.0
34.0,34.0,9.0,16.0,24.0,39.0,27.0,12.0,24.0,22.0
28.0,19.0,16.0,38.0,14.0,34.0,88.0,39.0,19.0,9.0
18.0,40.0,10.0,19.0,21.0,16.0,56.0,17.0,24.0,19.0
32.0,17.0,15.0,10.0,34.0,58.0,61.0,17.0,10.0,28.0
38.0,27.0,12.0,65.0,22.0,17.0,40.0,13.0,22.0,48.0
18.0,14.0,18.0,32.0,45.0,10.0,28.0,21.0,14.0,24.0
