Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
20.0,20.0,41.0,38.0,15.0
23.0,18.0,29.0,16.0,13.0
13.0,22.0,19.0,35.0,15.0
11.0,36.0,24.0,19.0,11.0
31.0,29.0,14.0,69.0,21.0
16.0,28.0,17.0,12.0,11.0
19.0,11.0,17.0,20.0,12.0
19.0,17.0,17.0,17.0,12.0
21.0,12.0,8.0,22.0,11.0
18.0,26.0,29.0,16.0,9.0
18.0,25.0,15.0,13.0,15.0
9.0,11.0,14.0,33.0,31.0
40.0,14.0,15.0,10.0,49.0
9.0,17.0,22.0,9.0,32.0
20.0,13.0,13.0,24.0,9.0
14.0,28.0,19.0,41.0,17.0
10.0,35.0,49.0,12.0,14.0
50.0,35.0,14.0,29.0,20.0
27.0,10.0,14.0,11.0,39.0
15.0,24.0,43.0,29.0,17.0
17.0,9.0,22.0,22.0,33.0
37.0,27.0,43.0,36.0,9.0
39.0,20.0,22.0,17.0,43.0
18.0,19.0,12.0,13.0,10.0
28.0,13.0,67.0,13.0,12.0
18.0,15.0,41.0,15.0,21.0
31.0,14.0,52.0,19.0,13.0
40.0,15.0,77.0,20.0,14.0
22.0,43.0,68.0,16.0,12.0
51.0,23.0,11.0,21.0,35.0
20.0,26.0,84.0,13.0,56.0
26.0,16.0,51.0,38.0,57.0
18.0,41.0,78.0,13.0,36.0
18.0,17.0,80.0,27.0,18.0
44.0,26.0,101.0,17.0,28.0
52.0,19.0,36.0,32.0,24.0
41.0,21.0,82.0,21.0,44.0
20.0,16.0,63.0,20.0,54.0
27.0,43.0,52.0,22.0,30.0
60.0,15.0,97.0,20.0,14.0
43.0,12.0,64.0,20.0,24.0
55.0,11.0,60.0,79.0,14.0
24.0,18.0,55.0,15.0,32.0
17.0,12.0,81.0,21.0,8.0
39.0,26.0,81.0,11.0,49.0
15.0,24.0,74.0,16.0,22.0
11.0,16.0,102.0,17.0,18.0
31.0,18.0,151.0,15.0,21.0
12.0,11.0,92.0,22.0,12.0
27.0,33.0,54.0,14.0,16.0
33.0,16.0,156.0,25.0,29.0
28.0,48.0,29.0,11.0,14.0
29.0,154.0,118.0,25.0,18.0
18.0,19.0,126.0,13.0,19.0
54.0,36.0,163.0,14.0,57.0
52.0,31.0,91.0,21.0,25.0
