Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
19.0,13.0,33.0,10.0,36.0
16.0,13.0,18.0,14.0,10.0
15.0,45.0,30.0,35.0,24.0
10.0,12.0,33.0,22.0,23.0
41.0,19.0,11.0,47.0,15.0
15.0,23.0,37.0,11.0,23.0
14.0,12.0,24.0,13.0,29.0
20.0,11.0,12.0,13.0,13.0
14.0,18.0,34.0,11.0,21.0
39.0,28.0,35.0,23.0,14.0
21.0,13.0,13.0,12.0,11.0
10.0,11.0,15.0,12.0,11.0
15.0,17.0,66.0,23.0,20.0
14.0,32.0,66.0,15.0,36.0
36.0,49.0,52.0,12.0,40.0
12.0,39.0,47.0,25.0,23.0
19.0,18.0,38.0,17.0,20.0
16.0,16.0,22.0,13.0,15.0
8.0,41.0,50.0,14.0,13.0
34.0,13.0,162.0,25.0,17.0
9.0,9.0,53.0,19.0,27.0
16.0,20.0,24.0,17.0,18.0
34.0,18.0,20.0,29.0,21.0
8.0,10.0,17.0,67.0,46.0
13.0,24.0,36.0,33.0,14.0
11.0,18.0,112.0,32.0,13.0
21.0,14.0,23.0,11.0,15.0
10.0,40.0,135.0,56.0,11.0
22.0,11.0,30.0,23.0,28.0
12.0,11.0,43.0,17.0,34.0
21.0,24.0,52.0,27.0,10.0
29.0,13.0,21.0,36.0,38.0
20.0,37.0,35.0,23.0,45.0
16.0,10.0,16.0,13.0,17.0
19.0,19.0,38.0,11.0,10.0
12.0,20.0,88.0,15.0,22.0
27.0,11.0,106.0,32.0,21.0
12.0,16.0,108.0,14.0,10.0
16.0,13.0,78.0,9.0,27.0
13.0,16.0,46.0,16.0,14.0
18.0,11.0,34.0,34.0,58.0
13.0,16.0,109.0,11.0,10.0
27.0,12.0,22.0,22.0,55.0
37.0,23.0,62.0,30.0,13.0
21.0,11.0,35.0,21.0,15.0
33.0,14.0,94.0,14.0,23.0
12.0,17.0,81.0,14.0,12.0
26.0,12.0,122.0,39.0,21.0
16.0,23.0,134.0,24.0,23.0
8.0,12.0,144.0,43.0,48.0
31.0,11.0,215.0,18.0,10.0
20.0,29.0,108.0,35.0,13.0
19.0,20.0,90.0,24.0,13.0
34.0,10.0,237.0,11.0,16.0
59.0,16.0,259.0,10.0,25.0
26.0,41.0,278.0,47.0,18.0
22.0,22.0,297.0,20.0,23.0
15.0,18.0,129.0,51.0,20.0
17.0,42.0,492.0,15.0,11.0
43.0,14.0,500.0,26.0,20.0
35.0,22.0,118.0,10.0,14.0
17.0,30.0,133.0,10.0,13.0
27.0,17.0,331.0,19.0,33.0
42.0,24.0,139.0,36.0,12.0
16.0,16.0,127.0,12.0,14.0
37.0,15.0,114.0,40.0,15.0
33.0,13.0,119.0,14.0,10.0
34.0,35.0,221.0,14.0,48.0
31.0,12.0,18.0,18.0,20.0
90.0,15.0,63.0,14.0,11.0
22.0,17.0,58.0,15.0,22.0
26.0,27.0,150.0,12.0,35.0
20.0,14.0,144.0,11.0,25.0
22.0,18.0,161.0,27.0,16.0
16.0,12.0,253.0,11.0,15.0
61.0,25.0,419.0,16.0,16.0
