Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
19.0,22.0,20.0,28.0,10.0,34.0,28.0,34.0,14.0,39.0
18.0,39.0,15.0,14.0,20.0,14.0,15.0,24.0,16.0,18.0
12.0,44.0,36.0,10.0,20.0,18.0,11.0,19.0,11.0,11.0
17.0,15.0,34.0,17.0,13.0,35.0,29.0,28.0,47.0,17.0
16.0,20.0,16.0,16.0,11.0,10.0,47.0,34.0,22.0,37.0
16.0,24.0,15.0,49.0,15.0,12.0,41.0,29.0,17.0,15.0
34.0,16.0,20.0,18.0,13.0,12.0,23.0,18.0,16.0,27.0
35.0,29.0,59.0,20.0,12.0,33.0,19.0,31.0,13.0,11.0
19.0,19.0,30.0,10.0,17.0,62.0,23.0,31.0,16.0,14.0
20.0,23.0,27.0,9.0,10.0,36.0,45.0,25.0,27.0,31.0
70.0,25.0,13.0,16.0,14.0,11.0,32.0,25.0,11.0,16.0
16.0,73.0,37.0,14.0,12.0,11.0,15.0,13.0,17.0,16.0
23.0,66.0,22.0,15.0,59.0,15.0,26.0,18.0,16.0,15.0
14.0,14.0,64.0,14.0,19.0,19.0,53.0,15.0,11.0,9.0
39.0,48.0,35.0,15.0,42.0,12.0,48.0,28.0,22.0,85.0
31.0,13.0,58.0,36.0,15.0,31.0,31.0,31.0,18.0,32.0
43.0,13.0,15.0,12.0,76.0,25.0,42.0,11.0,17.0,18.0
21.0,10.0,33.0,18.0,13.0,35.0,58.0,31.0,22.0,13.0
18.0,31.0,13.0,11.0,16.0,23.0,26.0,19.0,41.0,36.0
15.0,39.0,29.0,18.0,11.0,17.0,18.0,17.0,18.0,30.0
14.0,35.0,46.0,10.0,21.0,14.0,20.0,18.0,24.0,52.0
18.0,19.0,30.0,10.0,32.0,14.0,41.0,16.0,23.0,10.0
25.0,26.0,143.0,12.0,25.0,11.0,19.0,11.0,19.0,37.0
74.0,29.0,110.0,13.0,28.0,17.0,19.0,16.0,20.0,32.0
56.0,13.0,44.0,10.0,20.0,22.0,30.0,9.0,11.0,23.0
17.0,21.0,35.0,23.0,38.0,12.0,35.0,16.0,24.0,13.0
29.0,34.0,60.0,19.0,11.0,22.0,24.0,11.0,21.0,20.0
38.0,19.0,51.0,15.0,47.0,21.0,46.0,18.0,48.0,81.0
21.0,14.0,18.0,16.0,29.0,27.0,25.0,32.0,21.0,18.0
33.0,30.0,63.0,12.0,14.0,43.0,32.0,27.0,11.0,13.0
14.0,23.0,94.0,19.0,13.0,15.0,105.0,23.0,38.0,22.0
34.0,11.0,72.0,11.0,21.0,18.0,29.0,11.0,10.0,56.0
26.0,18.0,58.0,19.0,15.0,27.0,59.0,15.0,26.0,15.0
44.0,19.0,54.0,12.0,39.0,12.0,24.0,16.0,14.0,23.0
35.0,30.0,24.0,23.0,13.0,14.0,52.0,39.0,16.0,11.0
19.0,40.0,133.0,15.0,15.0,16.0,62.0,18.0,17.0,22.0
16.0,27.0,116.0,21.0,37.0,20.0,106.0,25.0,21.0,28.0
16.0,21.0,76.0,13.0,14.0,39.0,33.0,12.0,20.0,44.0
18.0,29.0,124.0,18.0,20.0,11.0,48.0,12.0,13.0,21.0
69.0,139.0,72.0,19.0,21.0,31.0,32.0,54.0,20.0,31.0
57.0,11.0,34.0,61.0,48.0,25.0,112.0,19.0,9.0,12.0
68.0,83.0,104.0,25.0,11.0,47.0,107.0,16.0,30.0,14.0
36.0,39.0,75.0,17.0,37.0,24.0,45.0,17.0,14.0,15.0
42.0,13.0,161.0,34.0,47.0,31.0,110.0,13.0,18.0,25.0
52.0,26.0,139.0,14.0,172.0,36.0,53.0,16.0,49.0,28.0
23.0,59.0,367.0,16.0,61.0,27.0,110.0,25.0,19.0,14.0
80.0,22.0,352.0,18.0,121.0,14.0,152.0,41.0,32.0,21.0
19.0,42.0,126.0,10.0,140.0,14.0,214.0,16.0,14.0,21.0
53.0,32.0,142.0,12.0,84.0,18.0,162.0,20.0,46.0,22.0
10.0,60.0,240.0,35.0,77.0,31.0,22.0,18.0,38.0,20.0
19.0,51.0,39.0,11.0,38.0,15.0,60.0,32.0,10.0,33.0
11.0,28.0,45.0,17.0,40.0,21.0,50.0,13.0,23.0,10.0
19.0,17.0,36.0,14.0,38.0,21.0,86.0,22.0,19.0,56.0
109.0,72.0,104.0,29.0,48.0,27.0,103.0,18.0,22.0,37.0
66.0,18.0,53.0,23.0,39.0,15.0,33.0,12.0,14.0,15.0
35.0,25.0,180.0,29.0,30.0,10.0,34.0,52.0,13.0,32.0
135.0,24.0,157.0,14.0,35.0,20.0,89.0,29.0,16.0,12.0
29.0,39.0,166.0,12.0,32.0,13.0,138.0,12.0,20.0,15.0
34.0,47.0,195.0,21.0,26.0,13.0,100.0,25.0,45.0,26.0
19.0,27.0,256.0,15.0,24.0,31.0,18.0,19.0,21.0,17.0
22.0,16.0,500.0,21.0,13.0,13.0,74.0,15.0,17.0,20.0
45.0,33.0,500.0,66.0,51.0,65.0,64.0,56.0,24.0,11.0
46.0,119.0,500.0,40.0,25.0,21.0,18.0,16.0,34.0,26.0
18.0,22.0,500.0,41.0,54.0,10.0,105.0,36.0,11.0,16.0
79.0,36.0,500.0,12.0,49.0,33.0,77.0,30.0,22.0,13.0
21.0,25.0,500.0,10.0,21.0,20.0,31.0,13.0,11.0,41.0
52.0,23.0,500.0,39.0,43.0,22.0,27.0,45.0,21.0,17.0
32.0,17.0,175.0,19.0,80.0,21.0,77.0,29.0,33.0,26.0
62.0,66.0,500.0,14.0,33.0,12.0,47.0,14.0,15.0,15.0
53.0,48.0,500.0,15.0,49.0,25.0,76.0,29.0,43.0,13.0
113.0,39.0,500.0,77.0,56.0,14.0,270.0,23.0,37.0,16.0
35.0,27.0,500.0,25.0,60.0,50.0,156.0,16.0,35.0,30.0
119.0,80.0,500.0,22.0,34.0,36.0,174.0,61.0,28.0,13.0
29.0,53.0,467.0,11.0,84.0,9.0,236.0,14.0,21.0,16.0
53.0,19.0,500.0,13.0,55.0,11.0,191.0,21.0,10.0,12.0
17.0,55.0,500.0,26.0,20.0,14.0,144.0,57.0,10.0,20.0
48.0,64.0,476.0,12.0,24.0,12.0,80.0,12.0,18.0,13.0
62.0,52.0,478.0,22.0,59.0,10.0,153.0,27.0,13.0,13.0
23.0,25.0,179.0,13.0,21.0,15.0,182.0,11.0,41.0,22.0
30.0,63.0,500.0,25.0,21.0,22.0,168.0,54.0,11.0,19.0
111.0,28.0,141.0,20.0,53.0,19.0,95.0,17.0,11.0,46.0
45.0,69.0,37.0,15.0,57.0,11.0,324.0,23.0,26.0,13.0
50.0,35.0,110.0,11.0,67.0,22.0,230.0,11.0,11.0,22.0
36.0,19.0,138.0,25.0,128.0,38.0,202.0,15.0,27.0,93.0
71.0,120.0,208.0,15.0,55.0,17.0,256.0,23.0,14.0,18.0
30.0,116.0,500.0,46.0,36.0,12.0,234.0,22.0,19.0,33.0
53.0,52.0,472.0,13.0,78.0,25.0,109.0,22.0,29.0,15.0
64.0,196.0,500.0,21.0,160.0,13.0,66.0,23.0,28.0,27.0
181.0,115.0,500.0,18.0,47.0,15.0,130.0,18.0,22.0,12.0
83.0,48.0,500.0,20.0,86.0,26.0,215.0,18.0,23.0,20.0
66.0,28.0,500.0,14.0,87.0,24.0,195.0,14.0,44.0,19.0
119.0,111.0,500.0,63.0,87.0,17.0,187.0,22.0,24.0,41.0
144.0,51.0,500.0,15.0,42.0,39.0,201.0,36.0,84.0,16.0
165.0,71.0,500.0,17.0,82.0,15.0,152.0,28.0,19.0,16.0
89.0,200.0,500.0,12.0,69.0,18.0,207.0,13.0,37.0,23.0
145.0,89.0,500.0,11.0,65.0,67.0,173.0,22.0,23.0,17.0
255.0,124.0,500.0,18.0,143.0,57.0,319.0,29.0,20.0,35.0
37.0,56.0,500.0,21.0,96.0,32.0,122.0,15.0,20.0,50.0
128.0,83.0,500.0,24.0,38.0,12.0,300.0,30.0,38.0,30.0
372.0,64.0,500.0,15.0,68.0,16.0,277.0,18.0,12.0,77.0
71.0,46.0,500.0,17.0,68.0,17.0,181.0,19.0,43.0,89.0
33.0,61.0,500.0,20.0,65.0,18.0,318.0,56.0,29.0,34.0
137.0,51.0,500.0,26.0,20.0,37.0,150.0,19.0,27.0,20.0
48.0,55.0,500.0,28.0,95.0,23.0,168.0,17.0,24.0,44.0
20.0,32.0,500.0,23.0,89.0,10.0,196.0,52.0,33.0,16.0
129.0,95.0,159.0,12.0,78.0,18.0,257.0,17.0,21.0,20.0
10.0,91.0,152.0,42.0,43.0,11.0,282.0,44.0,22.0,30.0
137.0,93.0,158.0,15.0,51.0,25.0,309.0,14.0,15.0,20.0
45.0,131.0,164.0,12.0,45.0,17.0,206.0,12.0,45.0,24.0
81.0,84.0,159.0,16.0,43.0,11.0,342.0,21.0,37.0,17.0
218.0,118.0,185.0,13.0,71.0,10.0,225.0,22.0,14.0,58.0
103.0,120.0,121.0,18.0,131.0,10.0,224.0,15.0,26.0,53.0
194.0,57.0,170.0,9.0,65.0,27.0,302.0,28.0,11.0,18.0
59.0,161.0,98.0,68.0,136.0,56.0,167.0,17.0,52.0,29.0
160.0,174.0,173.0,26.0,69.0,24.0,457.0,11.0,47.0,40.0
80.0,136.0,256.0,19.0,94.0,36.0,322.0,31.0,19.0,20.0
217.0,40.0,241.0,16.0,284.0,10.0,356.0,26.0,28.0,48.0
80.0,86.0,250.0,27.0,176.0,10.0,280.0,32.0,24.0,15.0
67.0,46.0,301.0,13.0,98.0,28.0,155.0,63.0,46.0,42.0
264.0,59.0,313.0,15.0,115.0,32.0,500.0,30.0,23.0,84.0
115.0,137.0,500.0,14.0,100.0,16.0,500.0,21.0,31.0,15.0
74.0,129.0,500.0,14.0,64.0,23.0,500.0,21.0,11.0,11.0
134.0,131.0,500.0,22.0,74.0,47.0,500.0,48.0,13.0,37.0
59.0,100.0,500.0,33.0,76.0,23.0,407.0,12.0,12.0,62.0
79.0,217.0,500.0,10.0,50.0,35.0,500.0,18.0,16.0,12.0
216.0,79.0,500.0,21.0,87.0,17.0,137.0,27.0,23.0,22.0
300.0,157.0,500.0,28.0,215.0,17.0,119.0,36.0,89.0,30.0
135.0,179.0,500.0,11.0,79.0,32.0,121.0,11.0,36.0,45.0
177.0,183.0,500.0,10.0,97.0,13.0,147.0,11.0,42.0,16.0
140.0,242.0,500.0,35.0,84.0,23.0,144.0,13.0,37.0,58.0
93.0,20.0,500.0,12.0,147.0,18.0,110.0,19.0,29.0,93.0
156.0,112.0,500.0,13.0,64.0,33.0,153.0,14.0,58.0,38.0
35.0,22.0,500.0,15.0,62.0,19.0,47.0,33.0,36.0,17.0
87.0,226.0,500.0,19.0,86.0,20.0,111.0,54.0,59.0,54.0
126.0,324.0,500.0,19.0,63.0,22.0,145.0,15.0,41.0,118.0
57.0,172.0,500.0,17.0,55.0,32.0,140.0,11.0,25.0,47.0
40.0,167.0,500.0,30.0,64.0,21.0,146.0,18.0,35.0,21.0
287.0,153.0,500.0,23.0,34.0,15.0,77.0,26.0,28.0,36.0
77.0,67.0,469.0,69.0,27.0,40.0,161.0,51.0,26.0,118.0
23.0,51.0,22.0,15.0,96.0,30.0,119.0,13.0,22.0,24.0
81.0,137.0,500.0,27.0,91.0,22.0,115.0,23.0,18.0,20.0
106.0,69.0,500.0,28.0,59.0,26.0,150.0,22.0,21.0,54.0
187.0,153.0,500.0,24.0,250.0,17.0,127.0,17.0,144.0,17.0
198.0,46.0,500.0,14.0,43.0,13.0,59.0,73.0,31.0,18.0
148.0,21.0,500.0,24.0,77.0,25.0,151.0,10.0,33.0,64.0
230.0,63.0,82.0,18.0,66.0,22.0,56.0,27.0,36.0,36.0
77.0,58.0,81.0,20.0,91.0,58.0,73.0,15.0,37.0,39.0
188.0,135.0,256.0,58.0,55.0,18.0,85.0,49.0,44.0,26.0
143.0,111.0,142.0,18.0,59.0,17.0,103.0,52.0,34.0,48.0
160.0,144.0,268.0,25.0,89.0,55.0,63.0,26.0,54.0,48.0
157.0,180.0,500.0,13.0,98.0,30.0,136.0,24.0,31.0,27.0
116.0,201.0,500.0,31.0,82.0,32.0,113.0,11.0,32.0,18.0
165.0,172.0,500.0,27.0,66.0,20.0,154.0,38.0,74.0,20.0
316.0,114.0,500.0,13.0,84.0,21.0,156.0,15.0,57.0,22.0
176.0,64.0,500.0,18.0,85.0,13.0,131.0,19.0,12.0,34.0
248.0,138.0,500.0,39.0,66.0,20.0,47.0,29.0,27.0,40.0
163.0,159.0,500.0,16.0,98.0,17.0,90.0,12.0,49.0,23.0
252.0,191.0,500.0,44.0,73.0,46.0,73.0,29.0,30.0,39.0
179.0,79.0,500.0,18.0,54.0,23.0,88.0,28.0,35.0,104.0
185.0,159.0,500.0,18.0,141.0,29.0,189.0,19.0,34.0,21.0
119.0,419.0,500.0,34.0,202.0,15.0,92.0,31.0,43.0,108.0
154.0,142.0,500.0,19.0,224.0,29.0,117.0,11.0,22.0,51.0
124.0,227.0,500.0,23.0,208.0,11.0,167.0,20.0,65.0,92.0
122.0,320.0,500.0,19.0,104.0,47.0,101.0,18.0,30.0,39.0
176.0,500.0,500.0,56.0,259.0,14.0,151.0,43.0,43.0,43.0
73.0,148.0,500.0,15.0,10.0,14.0,69.0,46.0,37.0,33.0
167.0,114.0,500.0,23.0,15.0,23.0,84.0,25.0,26.0,46.0
149.0,155.0,500.0,27.0,10.0,28.0,64.0,56.0,68.0,21.0
105.0,238.0,500.0,27.0,9.0,29.0,65.0,29.0,131.0,22.0
113.0,340.0,500.0,25.0,8.0,18.0,51.0,27.0,63.0,30.0
129.0,500.0,500.0,19.0,10.0,19.0,73.0,13.0,72.0,56.0
143.0,139.0,500.0,13.0,10.0,46.0,79.0,31.0,63.0,27.0
175.0,500.0,500.0,12.0,12.0,11.0,63.0,18.0,56.0,118.0
225.0,102.0,500.0,74.0,10.0,11.0,150.0,35.0,90.0,52.0
188.0,220.0,500.0,10.0,19.0,39.0,106.0,33.0,80.0,46.0
153.0,422.0,500.0,10.0,39.0,39.0,83.0,52.0,43.0,25.0
141.0,126.0,392.0,63.0,17.0,26.0,85.0,14.0,41.0,211.0
129.0,500.0,500.0,17.0,14.0,51.0,68.0,42.0,53.0,44.0
268.0,178.0,500.0,23.0,11.0,44.0,257.0,34.0,39.0,90.0
144.0,235.0,500.0,20.0,15.0,23.0,100.0,32.0,156.0,36.0
141.0,500.0,500.0,14.0,21.0,23.0,133.0,51.0,26.0,16.0
358.0,500.0,500.0,15.0,20.0,31.0,156.0,46.0,41.0,58.0
251.0,500.0,500.0,23.0,12.0,21.0,161.0,33.0,26.0,57.0
146.0,500.0,500.0,14.0,17.0,43.0,252.0,13.0,86.0,56.0
191.0,400.0,500.0,35.0,18.0,25.0,142.0,36.0,103.0,137.0
250.0,454.0,500.0,16.0,11.0,13.0,459.0,34.0,68.0,33.0
153.0,500.0,500.0,9.0,36.0,15.0,411.0,29.0,110.0,71.0
